Review,Explicit,Implicit
at first gumagana cyapero pagnalowbat cya ndi na ya magamit kahit ilang oras mo cya icharge namamatay agadpoor qualitynot for recommended,"at - B - PRO#DUR, first - I - PRO#DUR, gumagana - I - PRO#DUR, cyapero - I - PRO#DUR, pagnalowbat - I - PRO#DUR, cya - I - PRO#DUR, ndi - I - PRO#DUR, na - I - PRO#DUR, ya - I - PRO#DUR, magamit - I - PRO#DUR, kahit - O - , ilang - O - , oras - O - , mo - O - , cya - O - , icharge - O - , namamatay - O - , agadpoor - O - , qualitynot - O - , for - O - , recommended - O - ",namamatay - PRO#DUR
grabi pangalawa ko ng order sa shapee pero puro dismayado ako ang pangit ng tila subrang nipis mabilis ma punit at ang laki ng size niya alam niyo shopee mapapamura ako sa kagaguhan niyo nag speak ako na magan ang item niyo tapos ito mali pa ang pag butas,"grabi - O - , pangalawa - O - , ko - O - , ng - O - , order - O - , sa - O - , shapee - O - , pero - O - , puro - O - , dismayado - O - , ako - O - , ang - O - , pangit - B - PRO#MAT, ng - I - PRO#MAT, tila - I - PRO#MAT, subrang - B - PRO#MAT, nipis - I - PRO#MAT, mabilis - B - PRO#DUR, ma - I - PRO#DUR, punit - I - PRO#DUR, at - O - , ang - O - , laki - B - PRO#SIZE, ng - I - PRO#SIZE, size - I - PRO#SIZE, niya - O - , alam - O - , niyo - O - , shopee - O - , mapapamura - O - , ako - O - , sa - O - , kagaguhan - O - , niyo - O - , nag - O - , speak - O - , ako - O - , na - O - , magan - B - PRO#GEN, ang - I - PRO#GEN, item - I - PRO#GEN, niyo - O - , tapos - O - , ito - O - , mali - B - PRO#CORR, pa - I - PRO#CORR, ang - I - PRO#CORR, pag - I - PRO#CORR, butas - I - PRO#CORR",
2l gray/black order ko. bakit 850ml lang po pinadala nyo. kung di na po available yung product dapat di nyo pinilit yung gusto nyo. kelangan ko po yung 2l kahit anong color n lng po sana. . . return? i think di na aabot sa saturday. hay naku! tsk.,"2l - O - , grayblack - O - , order - O - , ko - O - , bakit - O - , 850ml - O - , lang - O - , po - O - , pinadala - O - , nyo - O - , kung - B - SER#HAND, di - I - SER#HAND, na - I - SER#HAND, po - I - SER#HAND, available - I - SER#HAND, yung - I - SER#HAND, product - I - SER#HAND, dapat - I - SER#HAND, di - I - SER#HAND, nyo - I - SER#HAND, pinilit - I - SER#HAND, yung - O - , gusto - O - , nyo - O - , kelangan - O - , ko - O - , po - O - , yung - O - , 2l - O - , kahit - O - , anong - O - , color - O - , n - O - , lng - O - , po - O - , sana - O - , return - O - , i - O - , think - O - , di - O - , na - O - , aabot - O - , sa - O - , saturday - O - , hay - O - , naku - O - , tsk - O - ","2l grayblack order ko bakit 850ml lang po pinadala - DEL#CORR, di na aabot sa saturday - DEL#TIME"
walang silbing product bwesit. di gumagana dalawa pa,"walang - B - PRO#GEN, silbing - I - PRO#GEN, product - I - PRO#GEN, bwesit - O - , di - O - , gumagana - O - , dalawa - O - , pa - O - ",di gumagana - PRO#FUNC
"d po maganda naman po yung neck fan, pero po napaka tagal po sya dumating dec,9 po dec, 23 napo sya dumating, chaka po pink po inorder ko bakit po white yung dumating pero konti lang po yung hangin thank you po driver at seller","d - O - , po - O - , maganda - B - PRO#GEN, naman - I - PRO#GEN, po - I - PRO#GEN, yung - I - PRO#GEN, neck - I - PRO#GEN, fan - I - PRO#GEN, pero - O - , po - O - , napaka - B - DEL#TIME, tagal - I - DEL#TIME, po - I - DEL#TIME, sya - I - DEL#TIME, dumating - I - DEL#TIME, Dec9 - O - , po - O - , dec - B - DEL#TIME, 23 - I - DEL#TIME, napo - I - DEL#TIME, sya - I - DEL#TIME, dumating - I - DEL#TIME, chaka - O - , po - O - , pink - O - , po - O - , inorder - O - , ko - O - , bakit - O - , po - O - , white - O - , yung - O - , dumating - O - , pero - O - , konti - O - , lang - O - , po - O - , yung - O - , hangin - O - , thank - O - , you - O - , po - O - , driver - O - , at - O - , seller - O - ","pink po inorder ko bakit po white yung dumating - DEL#CORR, konti lang po yung hangin - PRO#EFF"
"0/10 sa effectiveness po nya 0/10 dahil kakalagay ko lang then wala man lang ilang kalahating minuto uminom lang ako wala na agad ung kulay sa lips ko. kala ko nag sstay sya ng matagal kahit nga punasan mo pa ng wipes, pero hindi man pla scam lang po.","010 - B - PRO#EFF, sa - I - PRO#EFF, effectiveness - I - PRO#EFF, po - I - PRO#EFF, nya - I - PRO#EFF, 010 - O - , dahil - O - , kakalagay - O - , ko - O - , lang - O - , then - O - , wala - O - , man - O - , lang - O - , ilang - O - , kalahating - O - , minuto - O - , uminom - O - , lang - O - , ako - O - , wala - O - , na - O - , agad - O - , ung - O - , kulay - O - , sa - O - , lips - O - , ko - O - , kala - B - PRO#EFF, ko - I - PRO#EFF, nag - I - PRO#EFF, sstay - I - PRO#EFF, sya - I - PRO#EFF, ng - I - PRO#EFF, matagal - I - PRO#EFF, kahit - I - PRO#EFF, nga - I - PRO#EFF, punasan - I - PRO#EFF, mo - I - PRO#EFF, pa - I - PRO#EFF, ng - I - PRO#EFF, wipes - I - PRO#EFF, pero - I - PRO#EFF, hindi - I - PRO#EFF, man - I - PRO#EFF, pla - I - PRO#EFF, scam - O - , lang - O - , po - O - ","kakalagay ko lang then wala man lang ilang kalahating minuto uminom lang ako wala na agad ung kulay sa lips - PRO#EFF, scam lang po - SER#TRU"
mahina lng ang hangin khit nka maximum na. mabilis ma low batt pinapawisan p rin lalo n yung batok,"mahina - O - , lng - O - , ang - O - , hangin - O - , khit - O - , nka - O - , maximum - O - , na - O - , mabilis - B - PRO#DUR, ma - I - PRO#DUR, low - I - PRO#DUR, batt - I - PRO#DUR, pinapawisan - O - , p - O - , rin - O - , lalo - O - , n - O - , yung - O - , batok - O - ","mahina lng ang hangin khit nka maximum - PRO#EFF, pinapawisan p rin lalo n yung batok - PRO#EFF"
"maganda dn same sa picture maganda sya ,medyo maliit nga lang sya","maganda - O - , dn - O - , same - O - , sa - O - , picture - O - , maganda - O - , sya - O - , medyo - O - , maliit - O - , nga - O - , lang - O - , sya - O - ","same sa picture - PRO#CORR, medyo maliit - PRO#SIZE"
not worth it ang bilis n'ya ma-lowbat and ang tagal n'ya pang i-charge,"not - B - PRI#VOM, worth - I - PRI#VOM, it - I - PRI#VOM, ang - O - , bilis - B - PRO#DUR, nya - I - PRO#DUR, malowbat - I - PRO#DUR, and - O - , ang - O - , tagal - B - PRO#FUNC, nya - I - PRO#FUNC, pang - I - PRO#FUNC, icharge - I - PRO#FUNC",
mahirap buksan yung payong. need mo pa itulak. sana na check man lang bago ipadala.,"mahirap - B - PRO#FUNC, buksan - I - PRO#FUNC, yung - I - PRO#FUNC, payong - I - PRO#FUNC, need - O - , mo - O - , pa - O - , itulak - O - , sana - B - SER#HAND, na - I - SER#HAND, check - I - SER#HAND, man - I - SER#HAND, lang - I - SER#HAND, bago - I - SER#HAND, ipadala - I - SER#HAND",need mo pa itulak - PRO#FUNC
wrong color & design. sana kung di na available yung black mag message namn kayo if ano available. desisyon yarrrnnn? kakainis ganitong seller.,"wrong - O - , color - O - , design - O - , sana - O - , kung - O - , di - O - , na - O - , available - O - , yung - O - , black - O - , mag - O - , message - O - , namn - O - , kayo - O - , if - O - , ano - O - , available - O - , desisyon - O - , yarrrnnn - O - , kakainis - O - , ganitong - O - , seller - O - ","wrong color design - DEL#CORR, sana kung di na available yung black mag message namn kayo if ano available - SER#RES"
"ayaw gumana ng remote control, my dent ung product na pinadala ni seller, sana bago ipa ship check muna mabuti ni seller ung item na ipapadala para hnd nakaka disappoint sa client pag na recieve ung item","ayaw - B - PRO#FUNC, gumana - I - PRO#FUNC, ng - I - PRO#FUNC, remote - I - PRO#FUNC, control - I - PRO#FUNC, my - B - PRO#COND, dent - I - PRO#COND, ung - I - PRO#COND, product - I - PRO#COND, na - O - , pinadala - O - , ni - O - , seller - O - , sana - B - SER#HAND, bago - I - SER#HAND, ipa - I - SER#HAND, ship - I - SER#HAND, check - I - SER#HAND, muna - I - SER#HAND, mabuti - I - SER#HAND, ni - I - SER#HAND, seller - I - SER#HAND, ung - I - SER#HAND, item - I - SER#HAND, na - O - , ipapadala - O - , para - O - , hnd - O - , nakaka - O - , disappoint - O - , sa - O - , client - O - , pag - O - , na - O - , recieve - O - , ung - O - , item - O - ",
excited ako sa order ko kasi matagal ko na gusto bumili ng mga mystery item. so dahil 6.6 we've decided to order 5 mystery pouch. expect ko 5 packs ang makukuha ko. akala ko may sari sariling balot. yun pala 5 products na sya sa iisang pouch,"excited - O - , ako - O - , sa - O - , order - O - , ko - O - , kasi - O - , matagal - O - , ko - O - , na - O - , gusto - O - , bumili - O - , ng - O - , mga - O - , mystery - O - , item - O - , so - O - , dahil - O - , 66 - O - , weve - O - , decided - O - , to - O - , order - O - , 5 - O - , mystery - O - , pouch - O - , expect - O - , ko - O - , 5 - O - , packs - O - , ang - O - , makukuha - O - , ko - O - , akala - O - , ko - O - , may - O - , sari - O - , sariling - O - , balot - O - , yun - O - , pala - O - , 5 - O - , products - O - , na - O - , sya - O - , sa - O - , iisang - O - , pouch - O - ",akala ko may sari sariling balot yun pala 5 products na sya sa iisang pouch - PRO#COND
terrible blue order ko pero pink yung dumating sakin para sana sa anak kong lalaki pero pink yung dumating sakin nakaka dissapoint,"terrible - O - , blue - O - , order - O - , ko - O - , pero - O - , pink - O - , yung - O - , dumating - O - , sakin - O - , para - O - , sana - O - , sa - O - , anak - O - , kong - O - , lalaki - O - , pero - O - , pink - O - , yung - O - , dumating - O - , sakin - O - , nakaka - O - , dissapoint - O - ","blue order ko pero pink yung dumating - DEL#CORR, para sana sa anak kong lalaki pero pink yung dumating - DEL#CORR"
wrong color po yung dumating tapos yung green natanggal yung cover niya,"wrong - B - DEL#CORR, color - I - DEL#CORR, po - I - DEL#CORR, yung - I - DEL#CORR, dumating - I - DEL#CORR, tapos - O - , yung - O - , green - O - , natanggal - O - , yung - O - , cover - O - , niya - O - ",yung green natanggal yung cover - PRO#COND
"5/10 ang mahal ng payong, nd nmn ganun ka quality sira pa, sabi ko seller if ayaw bilik pera ko change items nd na nag reply","510 - O - , ang - B - PRI#AFF, mahal - I - PRI#AFF, ng - I - PRI#AFF, payong - I - PRI#AFF, nd - O - , nmn - O - , ganun - O - , ka - O - , quality - O - , sira - O - , pa - O - , sabi - B - SER#RES, ko - I - SER#RES, seller - I - SER#RES, if - I - SER#RES, ayaw - I - SER#RES, bilik - I - SER#RES, pera - I - SER#RES, ko - I - SER#RES, change - I - SER#RES, items - I - SER#RES, nd - I - SER#RES, na - I - SER#HAND, nag - I - SER#HAND, reply - I - SER#HAND","nd nmn ganun ka quality - PRO#GEN, sira - PRO#COND"
