Review #,Token,BIO Tag (For Explicit Aspects),Aspect Tag (For Explicit Aspects),Final Tag (For Explicit Aspects),"General Aspect, Specific Aspect Category (For Explicit Aspects)",Aspect Tag (For Implicit Aspects),Final Tag (For Implicit Aspects),"General Aspect, Specific Aspect Category (For Implicit Aspects)"
1,▁at,O,,O - ,,,,
1,▁first,O,,O - ,,,,
1,▁guma,B,PRO#FUNC,B - PRO#FUNC,"Product, Functionality",,,
1,gana,I,PRO#FUNC,I - PRO#FUNC,"Product, Functionality",,,
1,▁c,O,,O - ,,,,
1,ya,O,,O - ,,,,
1,pero,O,,O - ,,,,
1,▁pag,O,,O - ,,PRO#FUNC,PRO#FUNC,"Product, Functionality"
1,na,O,,O - ,,PRO#FUNC,PRO#FUNC,"Product, Functionality"
1,low,O,,O - ,,PRO#FUNC,PRO#FUNC,"Product, Functionality"
1,bat,O,,O - ,,PRO#FUNC,PRO#FUNC,"Product, Functionality"
1,▁c,O,,O - ,,PRO#FUNC,PRO#FUNC,"Product, Functionality"
1,ya,O,,O - ,,PRO#FUNC,PRO#FUNC,"Product, Functionality"
1,▁ndi,O,,O - ,,PRO#FUNC,PRO#FUNC,"Product, Functionality"
1,▁na,O,,O - ,,PRO#FUNC,PRO#FUNC,"Product, Functionality"
1,▁ya,O,,O - ,,PRO#FUNC,PRO#FUNC,"Product, Functionality"
1,▁magam,O,,O - ,,PRO#FUNC,PRO#FUNC,"Product, Functionality"
1,it,O,,O - ,,PRO#FUNC,PRO#FUNC,"Product, Functionality"
1,▁kahit,O,,O - ,,,,
1,▁ilang,O,,O - ,,,,
1,▁oras,O,,O - ,,,,
1,▁mo,O,,O - ,,,,
1,▁c,O,,O - ,,,,
1,ya,O,,O - ,,,,
1,▁i,O,,O - ,,,,
1,charge,O,,O - ,,,,
1,▁nama,B,PRO#DUR,B - PRO#DUR,"Product, Durability",,,
1,matay,I,PRO#DUR,I - PRO#DUR,"Product, Durability",,,
1,▁agad,I,PRO#DUR,I - PRO#DUR,"Product, Durability",,,
1,po,B,PRO#GEN,B - PRO#GEN,"Product, General",,,
1,or,I,PRO#GEN,I - PRO#GEN,"Product, General",,,
1,▁quality,I,PRO#GEN,I - PRO#GEN,"Product, General",,,
1,not,O,,O - ,,,,
1,▁for,O,,O - ,,,,
1,▁recommended,O,,O - ,,,,
2,▁grab,O,,O - ,,,,
2,i,O,,O - ,,,,
2,▁panga,O,,O - ,,,,
2,la,O,,O - ,,,,
2,wa,O,,O - ,,,,
2,▁ko,O,,O - ,,,,
2,▁ng,O,,O - ,,,,
2,▁order,O,,O - ,,,,
2,▁sa,O,,O - ,,,,
2,▁shape,O,,O - ,,,,
2,e,O,,O - ,,,,
2,▁pero,O,,O - ,,,,
2,▁puro,O,,O - ,,,,
2,▁dis,O,,O - ,,,,
2,maya,O,,O - ,,,,
2,do,O,,O - ,,,,
2,▁ako,O,,O - ,,,,
2,▁ang,O,,O - ,,,,
2,▁pang,B,PRO#MAT,B - PRO#MAT,"Product, Material",,,
2,it,I,PRO#MAT,I - PRO#MAT,"Product, Material",,,
2,▁ng,I,PRO#MAT,I - PRO#MAT,"Product, Material",,,
2,▁til,I,PRO#MAT,I - PRO#MAT,"Product, Material",,,
2,a,I,PRO#MAT,I - PRO#MAT,"Product, Material",,,
2,▁sub,B,PRO#MAT,B - PRO#MAT,"Product, Material",,,
2,rang,I,PRO#MAT,I - PRO#MAT,"Product, Material",,,
2,▁ni,I,PRO#MAT,I - PRO#MAT,"Product, Material",,,
2,pis,I,PRO#MAT,I - PRO#MAT,"Product, Material",,,
2,▁mabilis,B,PRO#DUR,B - PRO#DUR,"Product, Durability",,,
2,▁ma,I,PRO#DUR,I - PRO#DUR,"Product, Durability",,,
2,▁pun,I,PRO#DUR,I - PRO#DUR,"Product, Durability",,,
2,it,I,PRO#DUR,I - PRO#DUR,"Product, Durability",,,
2,▁at,O,,O - ,,,,
2,▁ang,O,,O - ,,,,
2,▁laki,B,PRO#SIZE,B - PRO#SIZE,"Product, Size / Measurement",,,
2,▁ng,I,PRO#SIZE,I - PRO#SIZE,"Product, Size / Measurement",,,
2,▁size,I,PRO#SIZE,I - PRO#SIZE,"Product, Size / Measurement",,,
2,▁niya,O,,O - ,,,,
2,▁alam,O,,O - ,,,,
2,▁niyo,O,,O - ,,,,
2,▁shop,O,,O - ,,,,
2,ee,O,,O - ,,,,
2,▁ma,O,,O - ,,,,
2,papa,O,,O - ,,,,
2,mura,O,,O - ,,,,
2,▁ako,O,,O - ,,,,
2,▁sa,O,,O - ,,,,
2,▁kaga,O,,O - ,,,,
2,gu,O,,O - ,,,,
2,han,O,,O - ,,,,
2,▁niyo,O,,O - ,,,,
2,▁nag,O,,O - ,,,,
2,▁speak,O,,O - ,,,,
2,▁ako,O,,O - ,,,,
2,▁na,O,,O - ,,,,
2,▁,O,,O - ,,,,
2,magan,B,PRO#GEN,B - PRO#GEN,"Product, General",,,
2,▁ang,I,PRO#GEN,I - PRO#GEN,"Product, General",,,
2,▁item,I,PRO#GEN,I - PRO#GEN,"Product, General",,,
2,▁niyo,O,,O - ,,,,
2,▁tapos,O,,O - ,,,,
2,▁ito,O,,O - ,,,,
2,▁mali,B,PRO#CORR,B - PRO#CORR,"Product, Correctness",,,
2,▁pa,I,PRO#CORR,I - PRO#CORR,"Product, Correctness",,,
2,▁ang,I,PRO#CORR,I - PRO#CORR,"Product, Correctness",,,
2,▁pag,I,PRO#CORR,I - PRO#CORR,"Product, Correctness",,,
2,▁but,I,PRO#CORR,I - PRO#CORR,"Product, Correctness",,,
2,as,I,PRO#CORR,I - PRO#CORR,"Product, Correctness",,,
3,▁2,O,,O - ,,DEL#CORR,DEL#CORR,"Delivery, Correctness"
3,l,O,,O - ,,DEL#CORR,DEL#CORR,"Delivery, Correctness"
3,▁gra,O,,O - ,,DEL#CORR,DEL#CORR,"Delivery, Correctness"
3,y,O,,O - ,,DEL#CORR,DEL#CORR,"Delivery, Correctness"
3,/,O,,O - ,,DEL#CORR,DEL#CORR,"Delivery, Correctness"
3,black,O,,O - ,,DEL#CORR,DEL#CORR,"Delivery, Correctness"
3,▁order,O,,O - ,,DEL#CORR,DEL#CORR,"Delivery, Correctness"
3,▁ko,O,,O - ,,DEL#CORR,DEL#CORR,"Delivery, Correctness"
3,.,O,,O - ,,DEL#CORR,DEL#CORR,"Delivery, Correctness"
3,▁bakit,O,,O - ,,DEL#CORR,DEL#CORR,"Delivery, Correctness"
3,▁850,O,,O - ,,DEL#CORR,DEL#CORR,"Delivery, Correctness"
3,ml,O,,O - ,,DEL#CORR,DEL#CORR,"Delivery, Correctness"
3,▁lang,O,,O - ,,DEL#CORR,DEL#CORR,"Delivery, Correctness"
3,▁po,O,,O - ,,DEL#CORR,DEL#CORR,"Delivery, Correctness"
3,▁pina,O,,O - ,,DEL#CORR,DEL#CORR,"Delivery, Correctness"
3,dala,O,,O - ,,DEL#CORR,DEL#CORR,"Delivery, Correctness"
3,▁nyo,O,,O - ,,,,
3,.,O,,O - ,,,,
3,▁kung,O,,O - ,,SER#HAND,SER#HAND,"Service, Handling"
3,▁di,O,,O - ,,SER#HAND,SER#HAND,"Service, Handling"
3,▁na,O,,O - ,,SER#HAND,SER#HAND,"Service, Handling"
3,▁po,O,,O - ,,SER#HAND,SER#HAND,"Service, Handling"
3,▁available,O,,O - ,,SER#HAND,SER#HAND,"Service, Handling"
3,▁yung,O,,O - ,,SER#HAND,SER#HAND,"Service, Handling"
3,▁product,O,,O - ,,SER#HAND,SER#HAND,"Service, Handling"
3,▁dapat,O,,O - ,,SER#HAND,SER#HAND,"Service, Handling"
3,▁di,O,,O - ,,SER#HAND,SER#HAND,"Service, Handling"
3,▁nyo,O,,O - ,,SER#HAND,SER#HAND,"Service, Handling"
3,▁pin,O,,O - ,,SER#HAND,SER#HAND,"Service, Handling"
3,ili,O,,O - ,,SER#HAND,SER#HAND,"Service, Handling"
