Review #,Review,product,delivery,price,service
1,cute ng item sobraaaaaaa hindi din sya damage kudos seller thank you so muchhhhhhhhhh goodluck sa business niyooooo,1,0,0,1
2,kararatimg lang maganda naman ung item at mabilis any delivery nasunod din ung kulay na gusto ko medyo my dumi lang pero wala sa akin un basra good any quality na sya naman dapat magandagooooooooooood quuuuaaaallllliiiiitttttyyyyyy,1,1,0,0
3,ok naman sya mahina lng yung fan nya pero yung light lng nmn need ko tas ang cute nyapa hindi lng ganun ka ayos yung packing pero ok na video not related,1,0,0,0
4,maganda naman po sya malakas yung fan kaso maingay lang gamitin ko po sa school and good quality po mali po color but its ok maingay lang po talaga sya,1,0,0,0
5,hindi po nagana kahit matagal po i charger po,1,0,0,0
6,excellent sobrang cute ng item nato and so far wala namang damage malakas din yung air magagamit ko talaga to sa galaan hahahahhahaha btw mama ko nag video di ako yung nakareceive ng package,1,0,0,0
7,ang ganda malakas yung fansana mag tagal pwde charge pwde rin battery super like,1,0,0,0
8,sobrang gandaaa sobrang worth it para sa price gumagana naman,1,0,1,0
9,salamat po okay naman po lahat at gumagana po ng maayos sana po magtagal yun lang po salamat po seller godbless po,1,0,0,1
10,ang cute nito ang galing may adjust button for light and fun love it so much excellent quality tas ang cute,1,0,0,0
11,sobrang cute nagsend ng pic si seller bago ipack fast delivery,0,1,0,1
12,super nice po talaga lakas pa ng hangin ng fun nya mura na worth it pa,1,0,1,0
13,maganda ang itemang cute kase mirror with fan thank you sa good quality seller,1,0,0,1
14,okay naman po lahat ng item nagana at mukang wala namang defect ang issue ko lang po yung mga boxes yupiyupi na ipapang regalo ko kasi tapos ganon nga itsura ng mga boxes nya hindi na presentable sana next time maayos na boxes naman pag lagyan,1,0,0,0
15,ang ganda nito sobrang nagustuhan ng anak ko super useful nito lalo pag nasa biyahe kami salamat seller highly recommended,1,0,0,1
16,maganda working naman lahat kaso hindi ko lang alam kung paano malalaman if charging ba yung yung baboy kasi walang ilaw pag chinarge,1,0,0,0
17,i like it ang lakas din hangin nyakaso pag echacharge dq alm kung magcharge kz wlng ilawall n all maganda prin i rcve my parcelvery niceokk lng ung laki nya kh8 saan madadala moakala q pdi lgyan battery ndimas okk zna kung pdi lagyan ng battery kesa ee charge,1,0,0,0
18,good super cuteee malakas din ang fan kaso feel ko madali lang siya masira kasi nasa labas ang fan niya ang cute ng appearance and size pati led,1,0,0,0
19,maganda po sya kaso di ko po alam kung paano sya gamitin need nya pa pala po ng battery pa tutorial naman po kung paano gamitin di ko pa kase alam thankyou po,1,0,0,0
20,gumagana naman siya malakas yung fan at yung ilaw walang gasgas kaso hindi ko siya irerecommend dahil umiinit siya habang chinacharge at nasunog pa yung part ng sapin namin sa sobrang init niya nasira rin yung product,1,0,0,0
21,maganda ang product nila kaso nadisapoint ako sa pandurog ng paminta basag basag ang bote 5 star padin kasi nakita ko naman buo pa nung nagsend ng picture si seller sa susunod lang sana pakidagdagan ang bubble wrap ng bote ang ganda din ng ring light malakas ang ilaw,1,0,0,1
22,ang cute kaso maliit lang cya at bulky,1,0,0,0
23,maganda ung white at pinkung blue ang bilis malobatt,1,0,0,0
24,maganda sana yung mga items yung mirror na may lagayan ng battery d nmn mallagyan tapos lukot2 na yung karton bbgay ko sa gf ko yun eh pero workings nmn overall ok nmn salamat pa rin,1,0,0,0
25,dumating na po cute sana kaso sira yong isa hindi omilaw hindi rin mag charge,1,0,0,0
26,maganda sya kaso maghahanap kapa ng chargerdepende sau kse yng sskin di nag chacharge,1,0,0,0
27,ang cute at working sya sana magtagal,1,0,0,0
28,okay naman sya i like it mali nga lang ang color na naibigay but its still okay as long as hindi sya sira and mapapakinabangan thank you for these sorry for the late review,0,0,0,0
29,standard qlty ayos naman ung item kaso anliit pala kaya mura pero nice na rin nagbiblink ng red pag nagchacharge,1,0,1,0
30,nice overall is maayos naman kaso nakita niyo naman po sa picture may sira na yun lang naman po thank you,1,0,0,0
31,ok sna kaso nacra sin kgad sa wire nya cguro usb cable kc pinili q,1,0,0,0
32,ok nmn malakas nmn ung hangin kaso nung binuksan ko ung lagayn ng battery wala batterycra din ung pindutan nya,1,0,0,0
33,slmat maganda at maayos po product po thank u din po sa nag deliver,1,0,0,0
34,maganda sya kaso ngalang mabilis ma lowbat kahit overnight mo pa syang icharge,1,0,0,0
35,maganda naman sya kaso mabilis ma lowbat even though mag umaga na naka charge mejo ok naman malakas number 3 malamang nag eexpect kasi ako ng mejo mataas since the price mwehehhehe so mali ko naman okiee thats all over all maganda naman mabilis din na ship so yeahhh,1,0,0,0
36,maganda ung item salamat seller at kuya rider,1,0,0,0
37,good quality and cheap hindi lang gaano kalakas yung hanginpero magagamit ko sya sa school pwede din sya pag nag lalakad ka sa mainit sasabit mo lng sya sa leeg mopero ang ganda nito,1,0,1,0
38,thank you seller for the smooth transactiontuwang tuwa ang daughter ko hoping it will lastsakto lang sya for 6yo girl pang school thank you,0,0,0,1
39,thankkkkkk youuuuu veryyyyy muchhhhh sooooo cuteeeee satifieddddd iiiii orderrrrr againnnnn  fasttttt delivery kahit may bagyo,0,1,0,0
40,nice fan kaso one hour lang sya gumagana and then need to charge again i will try icharge sya ng matagal if matagal din ba aandar thank you so much,1,0,0,0
41,thank u po sana po magtagal at di mdaling malobatsalamat at wla po naging damage sa itemunlike before na inorder q sa shop natothank u kc bumawe kau ngaungodbless sulit na ang bayad kodi nyo na aq na disappoint god bless po,0,0,0,1
42,good legit seller cute and affordable my order is correct and well packed received just in time sana lang tumagal at hindi masira agad given its price thank you seller,1,0,1,1
43,good 3 out of 4 fans working hindi ko na isasauli at masasayang lang lalo pera ko sana may quality check bago iship,1,0,0,0
44,okay naman mabilis din dumating ang kaso yung isa nagtataka ako kung bakit di masyadong umiilaw may problema kaya plus iisa lang naman binili ko dalawa yung dumating tapos yung shipping fee iisa lang naman yung store bakit parehas kailangan bayadan,1,1,0,0
45,910 okay naman siya walang issue mabilis ma lowbat pero ayos na kase mura na yung price niya so okay siya very satisfied naman ako kase nagagamit ko tlga siya sa f2f kaso kailangan may dala kang power bank lagi hahaha,1,0,1,0
46,nice bilis ng deliver well package magagamit ko to sa classroom namin kaso blue order ko pero white dumating,1,1,0,0
47,i ordered white pero blue ang dumating pero oks naman lakas ng hangin,1,0,0,0
48,ang cute nakuha ko sya for 1 peso kaso ayaw gumana ng free shipping but okay lang mura padin at maayos ang pinadala ni seller thank you,1,0,1,0
49,all items are working kaso ung sa white dumikit ung charger kaya nagka stain pero overall nakakatuwa sana magtagal to thank u,1,0,0,0
50,its very cute and very handy working well nmn medyo mahina hanging pero d ko lng sure kung may ilalakas pa ba pag naka full charge pero im happy with my order thank you seller and rider,1,0,0,0
51,good pretty and nice po and mabilis dumating thankyou seller and courier,1,1,0,0
52,inorder kopo white dumating po pink pero ok nmn po sha at mabilis pag deliver,0,1,0,0
53,nagustuhan ng sissy ko kaso yung lace nya why po blue ayun sana mag tagal sya thank you seller,1,0,0,0
54,working legit at affordable pero 4 stars lang kasi blue and white order ko kaso wala yung color blue,1,0,1,0
55,maganda po sya at maayos dumating may bubble wrap po kaso yupi yupi po ang kahon pero ayos at no damage po ang item salamat po seller at kay kuya rider more sales po,1,1,0,0
56,okey na din kaso yung blue madali malobatpero okey na dinthank you,1,0,0,0
