Review #,Review,product,delivery,price,service,,,,,
1,scam sayang pera  tigil nyo nalang negosyo nyo kung ma momorwisyo lang kayo e charge daw mga 5hrs pag ayan ay gagana basta naka saksak pag pindot palang iikot na dapat yan mind set ba deffectstore,1,0,1,0,Product is defective, causing inconvenience. Worthless and a scam.,,,
2,walang kwentang store towrong itemi recomend wag na kau bibili sa store na to makapag bent alng maling item ipapadalawalang kwentang storedi sumasagot si seller kasi alm nia mali xa,0,0,0,1,Wrong item received, seller unresponsive.,,,
3,you need to ask for picture if the item is good dahil ung sa akin ayaw mag open the seller is responsive in my queries but that is all he insisted that the item is in good condition even if i send a video that it does not open,1,0,0,1,Item doesn't work. Seller responsive but unhelpful.,,,,
4,randomly for boy peru pink and yellow green binigaypakiayos po sana sa susunod,1,0,0,0,Wrong color sent, should be for boys but got pink and yellow-green.,,,
5,0 nakakahinayang bilin sira sya ung pindutan nya hindi nagwowork kala namen lowbat lang nung dumating so nicharge namen naka ilan charger na kame ginamit sa kanya baka kasi charger lang may problema kaso ayun nga yung pindutan pala may prob nakalubog sya,1,0,0,0,Item defective. Button not working.,,,,
6,gumagana na man at marami buble rap hindi sya worth it ang haba tapos plastic at di rin stretch chable ibang iba sa pic hayyst sayang pera,1,0,1,0,Item is plastic, not stretchy. Not worth the money.,,,
7,masasayang ang iyong pera sobrang useless niya madaling malow battery isang beses mo lang siyang magagamit magstop na siya so need na namang icharge,1,0,1,0,Useless item. Battery quickly drains, need to recharge frequently.,,,
8,kung gusto nio magsyang ng pera the best to grabe ddting sau un product pero expect mo ind gagana hhingan ka p ng ebidensya n patunay n di gumagana  napakabobo lang inorder nga dhil ggmitin  ind nman inorder para isoli para tanga lang  nireceive ko nlang kse,1,0,1,0,Product doesn't work, they'll ask for evidence and is just a waste of money,,,
9,no good hnd gumagana wlang usok lumalabas umiilaw lng cya sayang lng 95 pesos ko palpak item nyo  pero salamat na rin ky kuya rider be safe palagi kuya  sau seller mgbenta ka ng maayos kc nag babayad kami ng maayos hnd namin pinupulot ung hlgang 95 pesos,1,0,1,0,Not working, just lights up, a waste of money, seller should be selling quality product.,
10,napakalayo sa picture at personal nakakadisappoint,1,0,0,0,Item looks very different from the picture, disappointing.,,,
11,may5 aq nagorder and my 2 preorder items dun so i expected after 7days ang shipout pero kaloka may27 na naishipout  nareceived q may30 pro wala ung preorder items sna naiship na ng maaga kung wala din nman pla ung hinihintay npkaunresponsive din nkakainis,0,1,0,1,Very late shipping, pre-order items missing, unresponsive.,,
12,hindi sya naffull charge ang bilis din malowbat kahit 2 hours kong chinarge maganda quality pero medyo mahina hangin,1,0,0,0,Doesn't fully charge, battery drains quickly, quality is good but weak wind,,
13,disappointed ang layo ng itsura sa pinadala ang jologs yung swelas makapal pa panty liner dto eh kung di sana available ganyan sana nag pm muna kayo sa customer diba para napalitan nlang sayang pera,1,0,1,0,Looks very different from picture. Bad quality. Not worth it,,,,
14,low qualitydi man lang naka plastic bawat isa,1,0,0,0,Low quality, not even wrapped in plastic individually.,,,
15,1 star  kasi imbes na kumita ako nalugi pa  6 ang order ko 4 lang ang binigay sa akin  nagustuhan ng mga kakilala ko ang product pero di na ako uulit sa seller na ito  nag ask ako ng refund pero vinoid nila kasi kulang,0,0,0,1,Incomplete order. Refund voided, won't buy again.,,,
16,210 i am very much disappointed for the items i received wrong color sana sinabi na lang na hindi available,0,1,0,0,Wrong color received, seller should have informed if not available.,,,
17,not working dumating yung item di gumagana,1,0,0,0,Item not working when received.,,,,
18,okay sana but the item is just 56m long instead na 10m which is nakalagay sa name ng item 40cm wide instead na 45cm pag dating sa inyo ng item sukatin niyo muna ilang beses ako nagmsg sa seller pero walang matinong sagot imagine ang 5m na kulang sa each,1,0,0,1,Wrong length, seller unresponsive.,,,
19,amoy lumang kandila will not recommend this awful product,1,0,0,0,Smells like old candle. Not recommended.,,,,
20,battery is not original lowbatt agad kahit naka saksak waste of money,1,0,1,0,Battery is not original, drains quickly. Waste of money.,,,
21,very cheap pangit yung tela manipis sa picture maganda tignan pati yung pinaka mahal nila same ng tela sa pinaka mura wag naman sana ganon i expected too much from this shop yung design ng shirt ang pangit sa actual or baka rejected yung binigay sakin,1,0,1,0,Very cheap material, thin, design is ugly in actual.,,
22,poor handling average quality delivered 2 days earlier than the delivery day product has so many dents as you can see in the video either it was transported poorly or not packed properly but for me both reason since hindi nagawang protektahan ng styro ung body ng air purifier,1,1,0,0,Poor handling, dents on product due to improper packing,,,
23,very poor worst customer service sira ung item ayaw irefund instead their offering a discount worth 20 pesos wtf dont ever buy items on this store we will report you sa dti,1,0,1,1,Item broken, poor customer service. Not refunding instead offers discount,,,
24,di magkapareho sound mas malakas yung right at madaling mahulog naman sa tenga yung left mabilis din malowbat yung left side at garalgal yung sound nakakadissapoint lang kasi kinancel ko na to tapos tinuloy padin pala ng seller sana pala yung may wire nalang binili ko,1,0,0,0,Uneven sound, easily falls off, battery drains quickly, distorted sound.,
25,ok lang sa price niya nag message ako kay seller na kulang yung pinadala niya skin 6 pairs yung order ko pero dumating 5 pairs lang,0,0,1,1,Okay for the price, but missing item,,,
26,walang kwenta yong item sayang pera sira at di sya solar nakakadismaya kinansel pa nila yong refund request ko,1,0,1,0,Worthless item. Broken and not solar. Refund request canceled.,,,,
27,ang liit ng size 3685 ok nman ang tela saka pagka tahi kaso maliit ang size 3685 parang pambata ung sized ko n return kc na confirm ko na ordered received eh,1,0,0,0,Small size, okay fabric and stitching but returning.,,,
28,very poor dumating agad yung neck fan pero super nakakadisappoint di gumagana nagmessage ako sa seller hindi nagrereply para lng akong nagtapon ng pera dalawa pa nmn inorder ko,1,1,0,1,Item doesn't work. Arrived quickly but seller doesn't respond.,,,,
29,sana all tama ung items na dumadating sa halagang 304 ung baby wipes lang ang magagamit ko next time po paki check naman ng maayos ung items di ko po alam kung anong process nio at nagkakamali ng lagay ng sticker nakaka sad lang,1,0,0,0,Not all items are correct, check items next time,,,
30,im so disappointed with this productshop tablet to be exact i ordered 128gb and i received 512gb with so many issues battery wont last long di niya kayang tapusin ang 1 episode ng kdrama which is 1hr and 5minutes only pin for insertion of simcard not working lage naglolog,1,0,0,0,Received wrong item, with issues on battery and sim card pin.,,,
31,1 day sira na wrong item delivered even i selected with battery and oay 199 each seller send without battery and cost is 139 each only now seller is not responsive waste of money,1,0,1,1,Received wrong and broken item, seller not responsive and is a waste of money.,,,
32,nakaka disappointed nd gumagana ang isahayts sayang ang perawala dn kasama chargerat parang luma na xa my mga gasgas na,1,0,1,0,Not working, waste of money, no charger included and scratched.,,
33,hindi gumagana doesnt serve its purpose dahil na rin siguro sa curve ng material hindi niya talaga napapa curl yung eyelash mo dont purchase this product sayang pera,1,0,1,0,Doesn't work, doesn't serve its purpose, waste of money.,,
34,madaling masira left slipper has a tear on the side it wont last check it first before you deliver i am very disappointed,1,0,0,0,Easily breaks, left slipper has tear.,,,
35,not working txt ko ung sim card na nakakabit sa gps ng 000 para sa register tas di magrereply palpak sayang lang ung pera,1,0,1,0,GPS not working, a waste of money.,,,
36,hirap gamitin maselan sya lagi nag turn off konting galaw mo lang sa tenga shut down na agad maselan ung sensor nya,1,0,0,0,Hard to use, sensitive and turns off easily.,,,
37,grabenext time practice reading ha order ko blackano dumating bluefrustrating,0,1,0,0,Wrong color.,,,,
38,wrong color of item delivered terrible experience tinanggap ko na lang kesa ibalik pa at tumagal at sagutin ko ang expense,0,1,0,0,Wrong color delivered, but accepted it.,,,
39,need to return the itemwrong size di ko na sana babalik benta ko nalang kaso naman parehas left,1,0,0,0,Wrong size, both are left.,,,
40,wrong item seller is not responsive sa mga chat kung ano trip ipadala yun ipapadala,0,0,0,1,Wrong item and seller is unresponsive.,,,,
41,not effective ang pangit ng amoy sakit sa ilong di rin natutuyo sayang lng pera,1,0,1,0,Not effective, bad smell, waste of money.,,
42,still plastic so its a bit thick pa rin the color is matte so kinda looks sick when worn mas bagay yung color sa mapuputi,1,0,0,0,Still plastic, a bit thick, the color suits light skinned people.,,
43,oks naman siya for its price goods din packaging niya but hindi nagana ang kanya mic,1,0,1,0,Okay for price and has good packaging, but mic not working.,,,
44,black po inorder ko  gray dumating bad trip pa tagal pa nman na iship,0,1,0,0,Ordered black, gray arrived and delayed shipping,,,
45,ok naman po ung product safe na nakarating and mabango din kaso nga lang wala ung spoon nya at di sya ganon ka tingkad at mabilis mabura,1,1,0,0,Product arrived safely and smells good, but missing spoon, not vibrant, and fades quickly.,
46,so nakaka disappoint po yung amoy iba po sya sa isang na buy ko na cloud ang baho nya po tbh kala ko pa naman po mabango ito,1,0,0,0,Smell is different and smells bad.,,,,
47,displaced yung sa charging area ni report ko naman wala namang action cheap nga kagaya ng seller,1,0,0,1,Charging area displaced. Seller cheap,,,,
48,yung item mabilis dumating pero hindi naman gumagana yung isang headst kabila lang gumagana ang charger cord wala hindi talaga naga function sayang lang talaga ang pera tsktsk,1,1,1,0,Fast delivery but item not working, a waste of money.,,,
49,110 not waterproof or smudge proof not brown shade as what i order not what its like in the photobut its a mascara nman dw and its a total waste,1,0,1,0,Not waterproof/smudge proof, wrong shade and a waste.,,,
50,nagchat ako kung pwde pasend ng pics ng item bago ipaship kaso dedma si seller yun pala dhil mali ang size na pinadala at damaged item ang ippadla godbless sayo,0,0,0,1,Seller ignored chat. Wrong size and damaged item sent.,,,,
51,damaged item madaming holes useless sa ulan kalka pinapareturn pero it will cost me more pa sa amount nung item yung pamasahe sana pag alam ng damage na wag na ipadala,1,0,0,0,Damaged with holes. Useless for rain.,,,,
52,hello po ang pangit baliktad ung lense,1,0,0,0,Ugly. Lenses are inverted.,,,,
53,ang malas nmn mouse nkuha ko di un worth ng 144 ko haist kunwari lng tong mestery box nato cla lng kumikita bweset,1,0,1,0,Got a mouse, not worth it. Just a way for seller to earn.,,,
54,manipis sya pero nakalagay sa description makapal super ordinary lang ok ung bulsa mahirap lang buksan manipis,1,0,0,0,Thin, described as thick, very ordinary and hard to open.,,
55,not true to size 7 normally ang size ko sa slippers yung size 3637 nila maliit po,1,0,0,0,Not true to size. Their size 36/37 is too small for my normal size 7.,,,,
56,mali yung isang color at pangit yong quality na pinalit nyu sa isa,1,0,0,0,Wrong color and bad quality of replacement.,,,,
57,poor quality binili ko to kasi kailangan ko to at nakikita ko rin kasi siya sa mga celebrity pero nakakadismaya kasi walang maitulong kung init na init na ko ang hina ng hangin kahit level 3 tapos maingay pa siya mukhang peke tong binibenta nila poor quality at walang hangin,1,0,0,0,Poor quality. Weak wind, noisy. Seems fake.,,,
58,wrong item ibabalik ko sana kaso dami pa proseso wala na ko time next time ayusin nyo product nyo kahit pa sabihing mura lang yan hindi pa din yan yung order ko,0,0,0,0,Wrong item.,,,,
59,not cotton akala ko pang adult at big size na yung inorder ko yun pala pang small size sayang nd kasya napaka ordinary dissapointed ganda pa ang tela ng ukay kesa dito,1,0,0,0,Not cotton, wrong size and ordinary material.,,,
60,010 grabe napa ka scam naman na toh kakarating lng sa akin tong products then i try it para sana gagamitin ko sa pang record pero hindi gumagana yung mic nya so im so disappointed dito tas ang hina pa ng speaker nya hindi sya malakas mas rinig ko pa,1,0,0,0,Product is a scam. Mic not working and low speaker.,,,,
61,bago kayo mah ship ng item make sure na okay ang product ninyo para hindi masayang ang bayad mag bibigay kayo ung sira,0,0,0,1,Make sure the product is okay before shipping, to avoid wasted payment and damaged items given.,,,
62,waxy i wouldve rated it higher kung sana may stain na naiiwan kahit di na nag peperform as lip balm gaya ng pagkaka promote okay na din sa price pero hindi sulit kasi wala yung ineexpect kong effect i ordered tan and cherry idk sa ibang shades,1,0,1,0,Okay for price. Not worth it as it has no effect,,,,
63,bad business habit kulang ng dalawa lol 100pcs napo inorder ko wala na nga freebie dumekwat pa kayo jusq di kayo aasenso sa ginagawa niyo,0,0,0,1,Bad habit seller. Item missing in order.,,,,
64,maganda nmn yung quality pero hindi ako happy dahil yung order ko puro 2l tapos 4 pcs pero ang dumating 3 lang ang 2l tapos isang 1 850 ml  sakto pa nman binayad ko  yan ang proof  tapos hindi pa nireplyan ng seller  next time ayusin,1,0,0,1,Good quality but incomplete order, seller unresponsive.,,,
65,isa lang po ang gumagana sa earphone at mahina pa ang sound ng isa,1,0,0,0,Only one earphone is working and other sounds is low.,,,,
66,i ordered pink color but they gave me the blue one nakaka dismaya sobra sa ibang shop nlng kayo umorder hindi marunong sumunod sa instructions yung shop na ito,0,1,0,0,Ordered pink but got blue, does not follow instructions,,,
67,akala ko ung pang ballpen pang touch screen den,1,0,0,0,Thought the pen could be used on touchscreen,,,,
68,nag order ako ng 2 mystery pouch at 2 mystery box dumating yung items ng naka 1 package lang so mahirap malaman kung anong order para sa kaibigan ko sa ate ko at sa akin kasi magkakasama na sya wag na kayo bumili mababaligtad yung expectation nyo sa description,0,0,0,0,Hard to identify who order when order pack together,,,,
69,hndi inayos ni seller pag papack kya cguro ayw gumana ng air purifieri want to return the air purifier sna makioag coordinate c seller,1,0,0,1,Seller didn't pack properly. Air purifier not working. wants to return and for the seller to coordinate,,,,
70,kapag nilagyan na ng tubig wala na amoy kaya pure wala na halong tubig ang nilalagay q 2 pa nmn order q mahal pahnd na mauulit  take note hnd din gumagana ang isang humidifier 1 lang nagamit q tsktsktsk,1,0,1,0,No smell when water is added. One humidifier not working,,,,
71,ano ba naman tong pinadala nyo bt ganito ang layo sa design na pinili ko bt di kayo marunong sumunod sa gusto ng buyer sana nagsend naman kayo o nagmessage kayo kung meron o wala nung design na pinili ko ampanget at ang layo naman ng binigay nyo sakin,1,0,0,0,Far different design from what has choose,,,,
72,good maganda sana kaso 3xl4xl yung binili ko dumating maliit na disappoint talaga ako,1,0,0,0,Good and beautiful item but small size receive,,,,
73,not good sobrang disappointed kasi ndi namin nagamit kasi walang isang minute lowbat agad as in hindi tlaga sya nagamit hayyst sobrang sayang,1,0,0,0,Not good super disappointed because battery lowbat cant be used,,,,
74,wala pong earbuds bluetooth na dumating at isa lang po order kong laptop table hindi dalawa sana po ay magawan nyo ng paraan,1,0,0,0,No earbuds receive just laptop table,,,,
75,not good oily yung lipbalm outer yung curler naman panget yung foam okay naman yung eyeliner tsaka blackhead remover tsaka yung sa eye photo nd,1,0,0,0,Different products not good only eyeliner is okay,,,,
76,clearly i ordered white but the seller gave me black she wants me to send it back to her but i got no time for that super hassle sobrang tagal na nga dumating ng item mali pa sobrang tagal na stock sa hub also the packaging ala man lng bubble,0,1,0,0,Wrong items and packing no bubble wrap. very long time to deliver the item.,,,,
77,ok sya  pero tyming saken di masyado nagsasara ng maayos,1,0,0,0,ok item but timing but not closing well,,,,
78,naaawa ako sa lolo ko hindi kasya sa knya kasi sobrang liit ng xxl ngayon lang nagkainterest magpaorder tapos sya pa naman magbayad pero nadisappoint lang sya yung lola ko naman kasya sa knya pero hindi niya gusto yung tela kung ako tatanungin sakto lang for its price salamat na,1,0,1,0,Small size and old people can not used but for low price it's  ok,,,,
79,wrong item mabilis dumating pero mali po yung nadeliver sana next time paki ayos na po seller salamat,0,1,0,0,Fast delivery item but wrong item delivery,,,,
80,no fragrance mabango sana to pero pagkaspray mo pa lang wala ng amoy mas ok pa alcohol medyo magtatagal mas maganda pa dn yung ibang oil based talaga kahit double ng price worth it naman,1,0,1,0,No fragrance.  Better another brand for price.,,,,
81,bad palagay q sira to ang hina ng init ehang tagal q ng sinaksak sa kuryente eh ang hina pa dn ng init nia kya hindi nkakastraight ng buhoksayang pera q dtongaun q lng kc nagamit kya ngaun lng aq nkpag ratesana pla umpisa plng sinubukas q na pra naisauli,1,0,1,0,Item is not good.  Low heat,,,,
82,kasi mahina yung kaliwa and mabagal ang pag shift im not satisfied about this product because the left bluetooth earbuds is not good as the the right and the shift is is very long ive waited it so long and yet this product will not satisfied me,1,0,0,0,Item quality no satisfy,,,,
83,sorry to say this but its factual ung akala mo makakatipid ka pero scam haha ang nipis at kulang sa sukat much better sa ibang shop,1,0,1,0,Seller scam,,,,
