Review #,Review,product,delivery,price,service,,,,
1,maayos po ang product ang tagal nga lang bago maship ung deliver naman mabilis ung pag hand over lang ni seller sa courier ang matagal inabot ng halos 2 weeks,0,1,0,0,The review mentions the product is good but the delivery took a long time because it took the seller almost 2 weeks to hand over the product to the courier.,,,
2,order received mamaya na ang full rate thank you rider,0,0,0,0,The review is just an acknowledgement that the order was received.,,,
3,make up spray lang inorder ko but yung with glitter ang dumating ayaw ko nito mas gusto ko yung walang glitter,1,0,0,0,The product does not match the customer's preferred option,,,
4,510 sira yung sa left ng black the rest ok na lahat sana kase chinicheck bago ipadala thank you,1,0,0,1,The product has defect and the reviewer wants the seller to check the product before shipping,,,
5,good quality its here na i ordered it last august 31 then i received it today sept 2 manipis sya tapos yung zipper di gaano maayos anyways thanks seller,1,1,0,0,"The review mentions good quality, quick delivery, but also points out the product's thinness and the zipper not being that good.",,,
6,item recieved fast friday lang ako nag order ngayong sunday narecieve kna agd which is mejo sira yung box pero okay nman okay nman yung item kaya lang pag nsa level 2 at 3 n sya every minute namamatay sya i ask seller to reture the item pero walang makausap,1,1,0,1,The review discusses the item received quickly but the box is damaged and product is not working properly. Seller is not responding.,,,
7,okay i like how it looks the problem is the size seems smaller than 3839,1,0,0,0,The review states that the product is small to its indicated size.,,,
8,black  grey order received edited maayos yung jogger na grey pero yung black sira pala sa gilid ang laki ng hiwa manipis lang kasi sayang maganda pa naman sana,1,0,0,0,The product grey is good but black has damage at the side.,,,
9,fast delivery but mali yung isang itemdapat apat na squarepants 3 lang dumating yung isa maroon cardigan instead of maroon squarepantsand yung bagsnice naman siya kaso lang hindi maayos ang pagkakatahiyun lang,1,0,0,0,The review mentioned delivery is fast but the items are wrong.,,,
10,ok wala nga lang pinadala na black trash bag but they replaced it with 20pcs 3d mask of the same value yung black belt na inorder ko brown color ang dumating that is why i am giving 3 stars lang,1,0,0,1,The review said there is a wrong item and the seller replaced it with same amount of value and also mentioned wrong color.,,,
11,good 2 if mag oorder super liit ng size,1,0,0,0,The review mentioned that the product has a small size.,,,
12,maganda nmn ung items kaso hindi nag fit maliit sya compare sa totoong size ung cup din nya maliit para sa boobs ko dalwa pa nmn na order ko dati naman nag order ako same size ksya nmn sya may allowance pa nga nngayon nmn super sikip,1,0,0,0,The review mentions that the product doesn't fit and small compare to its indicated size.,,,
13,hello po wala po ba siyang battery or nakalimutan lng ilagay sa package sayang nmn po d ko siya magamit ngayun d kompleto,1,0,0,0,The product doesn't have battery. Not complete.,,,
14,first malayo siya sa beige ive had this one before and ang layo ng color niya kasi para siyang rose pink second ang panget ng pagkakadikit nung sticker niya hindi siya magandang tignan and hindi siya nakadikit ng maayos nagbbubbles pa yung ibang sides niya and parang used siya,1,0,0,0,The review mentioned wrong color and poor quality product.,,,
15,mganda kaso maliit ang size pero ok nman sna sya sayang ang ganda p nman nya pinamigay q n lan s iba,1,0,0,0,The product is good but small in size.,,,
16,the quality is good and item shipped immediately pero hindi sya stretchable so dapat mas malaki sa size nyo ang oorderin nyo,1,1,0,0,The review mentioned that the product is good and shipped immediately but not stretchable.,,,
17,thank you padin po khit mali ang kulayang order ko ay block dumating ay lightblue as you see may picturebut oki narin god bless tou more,0,1,0,0,The review mentions that the product is wrong color.,,,
18,di masyado madikit at ung kulay ng foam bricks ngfafade naluma na yata ang binigay sa akin,1,0,0,0,The review mentioned product has poor quality and old.,,,
19,ok naman sya kaso biglang nadidisconnect tas ang hirap ibalik haha pano pa kaya pag nagstart olc baka biglang madisconnect nang madisconnect habang exams and such eh sira na keyboard ng laptop ko so imbis na macure yung sira ng laptop lalo pang nagcause ng inconvenience,1,0,0,0,"The review stated that product has a problem, it is suddenly disconnected.",,,
20,bakit naman ganun red ang ni order ko pero violet ang dumating di manlang nag chat si seller na ipapadala nya at violet di ko ni expect na ganyan darating sana sa sunod ayusin nyo po pag papadala nang di nakakadismaya salamat po,0,1,0,1,The review mentioned the product is wrong and there is no communication to seller.,,,
21,maganda okay naman yung shoes maganda naman the only problem is parihas kanan yung parang podding na apakan sa loob ng sapatos  hindi tuloy sya comfortable pag sinuot pag tinanggal naman yung podding ang tigas ng apakan mabuti nalang meron shoes anak ko na ganon ang apakan kaya yun,1,0,0,0,The review is about the product has poor quality and has the same foot pod.,,,
22,good 3 star binigay ko kasi di nasunod yung kulay na gusto ko  pero overall good naman  tip lang message muna kung d available yung desire na kulay  thank you,1,0,0,1,The product is okay but the product does not match customer's preference and there is no message or update from the seller,,,
23,okay nmn ung items makes ksoorder ko blue white dumating okay n din daily 1st order ko 1peso long sana mag tagal,1,0,0,0,The product is okay but the product does not match customer's preference,,,
24,dlawa order ko ung isa walang wire para s charger,1,0,0,0,"The product is not complete, missing the wire charger.",,,
25,matagal ang shipping ilang araw po bago dumating effectiveness naman po niya is madaling i apply pero matagal po magdry and nabubura rin po agad kapag nabasa so i wont recommend po panira lang po ng awra haha,1,1,0,0,The product has delivery issues and the product is hard to dry and not water proof.,,,
26,amoy alcohol di katulad ng naorder ko na dati sa ibang store sorry bumawi naman sa packaging,1,0,0,0,The product has a different smell.,,,
27,unlike my purchase from a different shop medyo malambot yung body ng water bottle na ito and wrong color pa yung isa na water bottle instead of blueorange greenpurple ang naship out sana icheck muna ng warehouse before shipping yung correct color variations,1,0,0,0,The product is soft body and has wrong color.,,,
28,hindi maayus ung box kahit naka buble wrap walang nakalagay na fragile plastik pa mandin ung product tapos ung remote chinese need ng extra effort sa pagtuklas ng mga nakalgay dun sana tumagal mag post ulit ako after a week about sa quality ng product sa ngayon 3star muna,1,0,0,0,The box is not good but has bubble wrap and fragile. Remote is chinese.,,,
29,edit ko comment ko ulit kac ok nmn pala siya nag download nlang ako ytkids kac ung utube nya d tlaga nagana,1,0,0,0,The product is not working.,,,
30,i ordered 2 pairs but this black one are no good looked like used because of the gasgas as you can see at the picture it could be much better if you replaced it w another color wont repeat ordering anymore thanks,1,0,0,0,The product has gasgas.,,,
31,order ko is 2 item ok nman kaso sa size bakit magkaiba yung binigay mo sa akin seller xl ung order ko pero yung isa is m,1,0,0,0,The product is good but has different sizes.,,,
32,3 star lng kasi mali ang medjas na pinadala sa akin ibang iba sa picture white bear pero orange na stripe at brown na stripe,1,0,0,0,The product is wrong.,,,
33,okay lang ang pagsulat niya pero nagkalat ang tinta sa loob ng packaging i recommend better packaging kasi hindi rin siya nasa loob ng plastic whatsoever lilinisin ko nalang,1,0,0,0,The ink is not working and there is no packaging.,,,
34,very good 3 star lang binigay ko kasi pag straight buhok ko ilang minutes lang balik ulit sa normal,1,0,0,0,The product is good but hair return to normal after minutes.,,,
35,100 okay sana i bubble wrap niyo next time para di nadadamage yung hawakan,0,0,0,1,The product has damage and needs bubble wrap.,,,
36,it works but when it came to me the packaging was tearing and one of the foot of the tripod was dislocated i had to hammer it to its original place very madamot sa bubble wrap but it can get as tall as me,1,0,0,0,The review mentioned packaging was torn and tripod foot dislocated.,,,
37,3 stars  75 maganda po yung lens at maganda po sya pang picture yung problem lang po yung box ng delivery is may sira at naipit po yung parcel ok lang kasi di naman nasira yung lens good job po sa delivery rider mabait sya na kausap,1,1,0,0,The product is good but the box is not good,,,
38,good quality i like it sakto sakin,1,0,0,0,The product has good quality.,,,
39,good okay siya sulit sa price kaso lang d ko gusto yung pagka balot d siya totally sealed plastic lang tapos box na medyo sira nice sguro pag medyo sealed tsaka parang desinte siya hehe anyways thnakyou so much  godbless,1,0,1,0,The product has packaging issue and the product is desinte.,,,
40,complete orders naman kaya lang yung dalawang slippers maliit kahit ang inorder ay 4041 na size yung isa naman same size nung isang slipper pero yung kulay black maliit pero size 36 din naman nakalagay na size,1,0,0,0,The review stated that the product has different sizes.,,,
41,ok naman syanagustuhan ko namankahit manipis syahindi kona napicturantnx seller at rider,1,0,0,0,The review mentioned product is good but thin.,,,
42,maluwag yung strap nung kanan kaya hindi ko rin mailakad ng maayos akala ko nung una deformed lang pero mas mahaba pala yung strap ng kanan kaysa kaliwa sana naman dinouble check quality ayaw ko na rin iparefund kasi naredeem ko na rin coins so di na mababalik yun,1,0,0,0,The product's strap is loose.,,,
43,20 meters po inorder ko yung isang 5meters po hindi gumagana sayang kay 3 star lang ibibigay ko,1,0,0,0,One product is not working.,,,
44,suitable nareceived ko na ang baby wipes kaya lang bakit basa pati sa loob ng bubble wrap parang napitpit ang wipes sana inaayos din,1,0,0,0,The product has some liquid inside bubble wrap.,,,
45,bilis lng niya malobat dpa yata abutin ng 2hrs pero sa packaging at delivery very good naman xa,1,1,0,0,The product is fast in low battery.,,,
46,all items are in good condition but ganon ang liliit ng sizes i ordered 38 parang dumating sakin mga 36 lang ata,1,0,0,0,The product has small size.,,,
47,maganda po kaso po my nakalagay dun sa parcel n 152 kaya nabayaran ko po ay ganyan n amount  pero po dun sa shopee ko nakalagay lang ay 125 pesos  sana po magawan ng paraan,0,0,1,0,The price is different in shopee and in person.,,,
48,may unti amoy di malaman kung mabango or hindi may unti amoy salamat seller shopee at sa nag deliver god bless to this shop,1,0,0,0,The product has smell.,,,
49,ok nman ang speaker yun lang ang mystery box  pouch walang kwenta nka plastic na mystery ba tawag doon e kita muna pag bukas same pa yung matt,1,0,0,0,The product is not good.,,,
50,order ko is 2l pero dumating 1000ml lang sana pakicheck po ung orderof all orders e2 lang po ung malibuti nlng maganda qualityhindi nga lang 2l na katulad ng asa discription and wala dn stickers,1,0,0,0,The product is good but not match its description.,,,
51,okay naman sya matt na di sya like others na nagbubuo buo then kaso di sya yung color na inorder ko,1,0,0,0,The product has different color from what the customer preferred.,,,
52,parang same lang sila tan at burnt hindi ko makita pagkakaiba parang pareparehas lang hindi ko makita pagkakaiba ng tan sa burnt same sila kulay same sila texture pero mabango naman,1,0,0,0,The product has the same color.,,,
53,please size up sa usual na size niyo maliit sa hubby ko and this is his usual size wala rin kasi measurements si seller kaya di mo alam sayang lang di magagamit,1,0,0,0,The product has small size.,,,
54,okayyyy naman nagana,1,0,0,0,The product is okay and running.,,,
55,not that ok wrong color ang isadpat prang blue green pro orange ang na receive naminpro ok nlng din,0,1,0,0,The product is wrong color.,,,
56,fair inedit ko yung comment ko kasi hindi pala stretchable yung bra ang sikip parang di ka makakahinga okay na sana eh,1,0,0,0,The product is not stretchable and too tight.,,,
