Review #,Review,product,delivery,price,service,explanation,,,,,
1,thank you po seller thank you shopee thank you kay kuya nagdeliver,0,0,0,1,,,,,,
2,good sobrang ganda nya nagustuhan ng anak ko palagi nya dala sa school thank u seller at sa sa mabait na rider,1,0,0,1,,,,,,
3,very good good quality po ito at ang bait ng delivery madanda rin po ang tunog nya tamng tama lng po thank you seller at kuya delivery,1,1,0,1,,,,,,
4,superrrr cute po ng itemspinag agawan ng mga pamangkin ko ang ganda ng quality at ang mura paoorder kmi ulit sa shop nto pag my pera na hahasuper legit,1,0,1,0,,,,,,
5,exact color ang ganda nya ay siguradong liliit tyan nyo at puson pag sinuot nyo to bili na kayooooo,1,0,0,0,,,,,,
6,di super fragrant and i dont think na long lasting panggamit ko lang naman to sa school at mayat maya naman ako magspray so okay na din mura lang din siya kaya thanks,1,0,1,0,,,,,,
7,ang gandakaso hindi ko kadya yung 2 pero i will order again,1,0,0,0,,,,,,
8,maganda ang quality good buy for a 99php,1,0,1,0,,,,,,
9,good quality naman good for its price well packaged good condition salamat po ng marami,1,0,1,0,,,,,,
10,goods nman xa sakto size n colorty seller n kuya rider,1,0,0,1,,,,,,
11,super cute okay yung size kahit di na mag size up dahil chunky naman siya goods din ang quality hehehe tonk sia made me buy it,1,0,0,0,,,,,,
12,wow super amazed po ako sa mga bra na order ko hindi ko po inexpect kasi mura lang pero super nice ang item thank you so much seller,1,0,1,1,,,,,,
13,super sofy thankyou posuper ganda nya kaso add size na ko maliit parin 36 lang ako nag 38 na size kinuha koperosad tosaymaliit ang size hayyyyy pero maganda po sya superty pa din godbless po,1,0,0,0,,,,,,
14,ang ganda worth it,1,0,0,0,,,,,,
15,worth it nmn medjo mahina lng sya pero oks na din maganda aya nag cute nia sana always ganitoo hahaha hanggang kelan kaya yung tibay nia,1,0,0,0,,,,,,
16,super gandaaa for small chested talaga siyaaa nakahanap na rin ako ng perfect bra for meee huhuhu hindi siya yung nabuka na bra sobrang ganda ng fittt thank you so muchhh,1,0,0,0,,,,,,
17,idk ayos siya thank you and nagana,1,0,0,0,,,,,,
18,item received in good condition well packed ang item balot na balot may bubble wrapped and naka box ang item havent check and tried the item yet kasi pang gift cya kaya di ko na nakita exact itsura niya pero sana maganda and tumagal ng ma,0,0,0,0,,,,,,
19,maganda po yung item pero lukot lukoy po siya because of the packaginy kulang din po ng isa yung wallpaper and di po ganon kadikit pero maganda po quality ng wallpaper nice product po,1,0,0,0,,,,,,
20,ang gaganda complete items received thank you seller will surely order again ang mura pa ng mga sandals salamat shopee,1,0,1,1,,,,,,
21,nice maganda sya masarap isuot sakto din sa size ko sana magtagal sya thank you po,1,0,0,0,,,,,,
22,dumating na po naka buble pa thanks kay seller at sa kay raider na mabait kht hapon n hinintay nya kami,0,0,0,1,,,,,,
23,1010 ang ganda ng sandal at kasya lahat sa akinhahahaha salamat ng marami order po ulit ako pag nagka pera ulit,1,0,0,0,,,,,,
24,maganda sya thank you po,1,0,0,0,,,,,,
25,very nice its very effective than shave i try it once and i am very satisfied with the result clean and smooth ang result sa shinevan mo kahit sa kili kili pwede thank you seller very impressive product,1,0,0,1,,,,,,
26,salamat po functioning naman ang items sana effective talaga,1,0,0,0,,,,,,
27,ok nman kso 34a po order ko dumating 38a,0,0,0,0,,,,,,
28,thank you po sa mabilis na transaction at pagka active ni seller thank you sa magandang quality ng shoessandals sa uulitin po yung video own po yan pasensya na po godbless,1,0,0,1,,,,,,
29,manipis sya pero comfy naman suotin malaki lang pala sakin yung 2xl tho tama naman yung sukat nila thanks parin seller,1,0,0,0,,,,,,
30,100 maganda kaso sakto lang yung size sakin large order ko kala ko mas malaki pero ok lang looking forward sa bagong design nio na oversized,1,0,0,0,,,,,,
31,good sound di naman sana agad masira,1,0,0,0,,,,,,
32,kasimg laki lang halos ng kamay ko yung payong very cute and handy sana ok din sya pang ulan pero i doubt lalo na kung malakas more on sa init ng araw sya useful,1,0,0,0,,,,,,
33,good natanggap ko na rin sa wakas yung order ko ang ganda niya grabe very stylish salamat sa magandang quality seller its worth the wait and its worth to buy salamat seller salamat shopee,1,1,0,1,,,,,,
34,ok nman ang item nakarating naman ng maayos sana lang magtagalnagustuhan ng anak ko salamat seller at sa nagdeliver,1,1,0,1,,,,,,
35,maganda po sya kaya lang maliit sa 12yrs kong anak salamat po complete orders,1,0,0,0,,,,,,
36,may 2nd time order yung una kasi medyo maliit kaya dinagdagan ko ng isang size goods na hehe,1,0,0,0,,,,,,
37,okay naman mabilis pa mag ship out medyo mahirap lang mag type need na mabigat typing kasi di nakagat working naman and super dali iconnect,1,1,0,0,,,,,,
38,always kami bumibili neto dahil mura at wala ding amoy good for everyday use din dala namin to kahit saan kami magpunta,1,0,1,0,,,,,,
39,ang gandang baboy aba tas ang mura pa girl what a steal very affordable niya malakas pa yung tipong haggard ka na tas mainit pa mag salamin ka tas may fan pa,1,0,1,0,,,,,,
40,very good bili na po kayo sobrang mura na and quality dito na kayo bumili balot na balot ang packaging bibili ulit ako,1,0,1,0,,,,,,
41,mukhang magandang klase naman di ko pa nagagamit pero based sa iba okay naman di ko maupload video thank you seller,1,0,0,1,,,,,,
42,8 pang limang besis kona tong mag order maganda naman at super legit 4stars lang ni rate ko ksi yong pagbalot di naayos at may isa na muntik ng masira,1,0,0,0,,,,,,
43,so ayun nga after 1 week of waiting dumating na din sa wakas yung order koworth it ang pag hihintay koalm ko malayo din pinanggalingan nito kaya naman highly recommendedthankyou so much poorder ako ulit soon para kay boyfie,0,1,0,0,,,,,,
44,ang gaganda ng combination ng mga colors bilis din ng shipping and deliverypang 3rd time ko na to magorder may susunod pa worth the price tlga hawk naang bag ng buong pamilya,1,1,1,0,,,,,,
45,inorder ko sya ng 1111 and sobrang bilis nyang dumating and safe din ang box na try ko na din sya and super ganda talaga nakaka motivate mag linis hahahaha hndi ko navideohan yung pag gamit ko kasi wala mag video sa akin overall i highly recommend this product thank,1,1,0,0,,,,,,
46,okay naman considering the price andami akukuhang balahibo kahit kakawalis lang hindi ganun kaingay kaya good buy na rin,1,0,1,0,,,,,,
47,anggaganda nilaaaaaaa sakto lang saken hahahaha thank you seller will surely order again god bless poooooooooooo,1,0,0,1,,,,,,
48,thank you so much no damage and complete ordersas expected sa jt nadeliver agad nagsend din si seller ng pic before iship,0,0,0,1,,,,,,
49,super duper i am very happy the items coz i am very very very much satisfied sa quality excellent quality 10 stars talaga,1,0,0,0,,,,,,
50,walang brand okay na din maganda may zipper and pocket nya safe kahit nag bike anak ko di babagsak laman ng bulsa nila thanks,1,0,0,0,,,,,,
51,thank u shopee and to the seller nasunod nman orders ko sakto lng din dating akala ko matagal tagalan pa will order nxt tym for my baby thank u and god bless,0,0,0,1,,,,,,
52,salamat shopee salamat zeus shop yung mouse pad saktong sakto one piece na design nakuha ko love it 2mystery box at 1 pouch sulit,1,0,0,0,,,,,,
53,nagamit ko na sya kala ko effective sa wind prof mejo lang and magaan lang pala sya kala ko mabigat,1,0,0,0,,,,,,
54,good and working received order and all complete all are working effective hair straightening okey naman ang color at straight ng hair konti nga tiyaga pero nice siya hindi ka mapapaso thank you,1,0,0,0,,,,,,
55,super cute i saw sa ratings na malaki sya pero dko expect na sobrang laki pala hahahahaha wala ng mapwestuhan sa higaan mama at mga kapatid nya dahil sinakop na yung space masarap na tulog ng baby namin di na msyado namumuyat mejo nalang super fast delivery also will surely,1,1,0,0,,,,,,
56,good waterproof eyeliner sobrang tagal mabura yung mascara super ganda,1,0,0,0,,,,,,
57,ahahawla sa tamang usapan ang mga bigay nio sa akin nakakadismaya pinilo ko kulay green dumating whitetas 3 in 1 nakalagay sa post nio wla nmn ksama na essential oil nya ahahahpinag luluko lng ninyo mga buyers nio,1,0,0,0,,,,,,
58,nice nagustohan ng asawa ko cotton siya mukha matibay naman thank you po,1,0,0,0,,,,,,
59,nice completo na gamit nang baby ko soon,0,0,0,0,,,,,,
60,100 pa syang dumating sa akin thank you seller,0,0,0,1,,,,,,
61,ung quality medyo malambot pang pasyal lang talaga siya kasi baka mabilis mapudpod haha mura nga eh pero ung mga designs maganda i love it,1,0,1,0,,,,,,
62,good qualitynagustuhan ko yng bra makapal syaok lngi recommend this shopthey sell a god quality of products,1,0,0,0,,,,,,
