Review #,Review,product,delivery,price,service,explanation,,,,,,
1,good my pamangkin is happy thank you seller and more buyers to come hehe ganda ng bag original tlaga siyavideo not related hehe,1,0,0,1,,,,,,,
2,grabe ang ganda ng mga products ang ganda ng tela at stretchable pa okay rin yung foam di gaanong manipis di rin gaanong makapal sulit na sulit ang pera niyo,1,0,1,0,,,,,,,
3,good okay naman thanks seller nagustuhan ng asawa ko kaya lang sa 6pcs 4pcs puro black sana nirandom color naman,0,0,0,1,,,,,,,
4,1010 ang gandaaaa im so happy na nagrestock and may white 750ml na ulit sulit magwait kasi ang ganda 3hrs na may yelo pa rin pero di q pa natry yung 12hrs challenge keme hahahha pero oks na to lagyan ko coke always sa ftf ty seller may freebie pa,1,0,1,1,,,,,,,
5,medyo hindi masyado matibay ang pagkakapack nito pero buti na lang walang damage working po ang dalawang items pero hindi pa namin na try kung gaano katagal siya magagamit,1,0,0,0,,,,,,,
6,good okay naman kaso ang tagal dumating 1 linggo mahigit din naamoy ko sa boyfriend ko yung cucumber so i asked him anong pabango yun pero hindi nya kaamoy tong naorder ko hopefully tumagal yung amoy ng mga to,1,1,0,0,,,,,,,
7,thankyou so much 5 star to sakin hndi nkakasisi sobramg gandaaaa walang stain pag nag facemask hihi will surely buy again po,1,0,0,0,,,,,,,
8,ok po yung mga jogger po tama po yung color at design sa damit lang po mali ang binigay sa puma na tshirt dapat grey pero navyblue pinadala pero ok namn po slamat seller,0,0,0,1,,,,,,,
9,ang ganda ng quality ng slipper kahit mura siya comfortable nman siya suotin actually this is my second time purchasing this product kasi nagustuhan din siya ng parents ko ang lambot lambot niya kasi sa paa loving it will order this again definitely,1,0,1,0,,,,,,,
10,just got the order nagleak lang ng konti pero okay naman mabango din will definitely order again thank you so much,1,0,0,0,,,,,,,
11,di ko alamve kapatid ko nag recieved sakniya kasi yun thank you seller buti nlng humabol bago mag new year excited kasi yung kapatid ko,0,0,0,1,,,,,,,
