Review #,Review,product,delivery,price,service,explanation,,,,,,
1,matigas sya syaka iba ang color fake sya iba ang logo sa original masyado makulay ang color,1,0,0,0,The review is about the quality and appearance of the product. Specifically mentioning the color,and logo which refers to its fakeness.,,,,,
2,sira ung item pagdating smin the other side of the neckfan is nkaangat at hndi nagana try to contact the seller pero prang hndi cla naniniwala laging nag aask ng phot and video kahit ilang bese kna nagsend and try to return pero parang nananakot pa,1,0,0,1,The item arrived broken and the seller doesn't believe the review.,,,,,,
3,mi nessage ko si seller na palitan yung color ng white kase mali nqpindot kong kulay pero d patin nyq pinalitqntapos nag leleak pa nakakainis,1,0,0,1,The seller didn't change the color as the review requested,and the item leaked which refers to product quality,which also affects the service.,,,,
4,none cant even remove smoke unlike other similar products hindi siya nag ffilter,1,0,0,0,The review is about the product's feature,stating that it doesn't filter as advertised.,,,,,
5,not sure bakit printed binigay nyo tapos ang liit pa ng size zzzzz,1,0,0,0,The review is about the product's quality since it's printed and small.,,,,,,
6,nakiusap ako na padagdag ng one size up right after i clicked place order dhil sa reviews ko lang nabasa na need mag size up sa personal pero dinedma ako ni seller at itinuloy p din,0,0,0,1,The seller ignored the review's request which means the review is about the service provided by the seller.,,,,,,
7,ok naman sya pero nakakagigil kasi dumating yung order ko hindi magagamit kasi kulang yung lock nya hindi nila chini check  hindi ko talaga ma gagamit  sabi pa nila kailangan ko daw magpunta malapit na jnt eh ang layo pa ng jnt bahala na kayo tinapon ko nalang,1,0,0,1,The order cannot be used because it is missing a lock,it indicates poor product quality,the seller also didn't check,meaning poor service.,,,
8,manipis sa susunod na magorder ung tao kung ano inorder un pa din bigay nyo di ung bbgyan nyo ng maganda sa una tapos pangalawang order panget na manipis pa  ung una makapal bat ganun kayo,1,0,0,0,The product changed from good to bad quality.,,,,,,
9,ambaho pure seduction pero mukhang d nmn maaakit ung mga makakaamoy sakin ambaho tlaga,1,0,0,0,The product's scent is bad.,,,,,,
10,isang gamot lang wala na sira agad ang top or ulo ng shaver,1,0,0,0,The review is about the product,stating that it immediately broke.,,,,,
11,i received a defective item ang ang pnng shopee hindi ako pina refund kitang kita naman sa video na nag le leak yung item if could give zero ratings lalo na shopee magbbgay ako,1,0,0,1,The review is about the defective product and Shopee did not allow the review to refund.,,,,,,
12,nakakadissapoint naman to seller i choose the random color pero bakit puro pink naman to buti sana kung pinili ko puro pink lang talaga eh jusko tapos yung 2 pcs po hindi nagana yung ring light pero yung fan okay naman,1,0,0,1,The review states that the seller picked the wrong color and the ring light is not working.,,,,,,
13,di po ngana ang charger at mahirap isaksak s neckfun,1,0,0,0,The charger is not working,and it's difficult to insert in the neckfan.,,,,,
14,sorry to say but this is not real as for big size yung cup ng bra nyo ay good for a lng kahit n yung pinakamalaki nyong size ay hindi fit sa cup b im so dissappointed as per your advertise,1,0,0,0,The size advertised doesn't fit on the review.,,,,,,
15,its not connecting theres no code it just keep on loading wat a waste  i asked the seller but still wala dedma gosh god bless na lang,1,0,0,1,The code doesn't connect and the seller is unresponsive.,,,,,,
16,cheap looking 1 month bago na received yung item manipis yung packaging lukot lukot yung vinyl wag kayo dito bumili,1,1,0,0,The item arrived after 1 month with thin packaging,and the vinyl is wrinkled. The review is about the product's quality and delivery time.,,,,,
