Review #,Review,product,delivery,price,service,explanation
1,maganda lahat salamat po order uli ako pag may pera,1,0,0,0,
2,kumpleto po lahat ng order kolage po ako omorder sa shop nato i recommend this shopcomplete walang damagethank you seller,1,0,0,1,
3,uhm ngayon lang nkapag rate dumating siya kahapon pa lang superrrrrr ganda ng mga item walang problema okay lahat goods pa ng quality more orders come sa shop niyo god bless stay the way you are dapat goods na item lang e ssell niyo charizz thank you shopee seller tsaka,1,0,0,1,
4,pangalawang order ko na to sobrang gandaaa talaga at mura paaa excellent quality talaga will order again godbless seller thankyou po lalalallala,1,0,1,1,
5,good order arrived items are in good condion for everyday use ng bagets transact on 99 and received at 911 thanks seller and courier,1,1,0,1,
6,water intake cute siya kaso may konting dent sa frosted part sa baba baka nascratch kung san siya naistore pero for its price okay naman na kasi malaki siya and mura na for 2 liters na malalagyan ng tubig so 4 stars padin thank you din sa stickers its cute,1,0,1,0,
7,5star sana kaso kulang pinadala ni seller wala yung tissue paper kaya 4star nalang although na refund naman yung tissue paper pero maganda sana kung kumpleto pinadala sa mga items ok naman hindi basag yung water bottle naka pack naman nang maayos kaya salamat parin seller,1,0,0,1,
8,i ordered black variant pero purple yung dumating okay naman walang sira kaso sana inform naman nila yung buyer na wala yung pinili na kulay,1,0,0,1,
9,good maganda naman sya though ibang kulay ang inorder ko nagustohan ko sya kaso lang may dents parin kahit naka bubble wrap natanggal yung sa likod na paint na part nilagyan ko nalang ng sticker thank you pa rin seller,1,0,0,1,
10,maganda cia kaso wala ung mga design nia sticker lng ung pinadala pero ung mga nkita ko sa comment eh meron ung magagandang design,1,0,0,0,
11,okay nman ung product kaso namali ung kulay nung isa imbes na green eh blue ung nrcv ko pero all in all eh okay nman,1,0,0,0,
12,maganda po quality ng produc kaso po ung isa sira po lock nia sana po bago nio ideliver is pktgnan mabuti kasi nkkdismaya nman po ang ganda pa nman kaya dq na sya panggamit sa trabho dto nlng sa bahay nmin,1,0,0,0,
13,ok na sana kaso maling kulay yung pinadala color black order ko e,0,0,0,0,
14,810 ok nman sya maganda yung product kaso lang yung kulay ng tumbler na pinili ko ay di tama but its ok kasi sa kulay lang naman nagkamali magagamit din naman namin ang tumbler and thank you to this shop  kasi affordable lang ang kanilang mga product,1,0,1,0,
15,excellent okie sya saakin super okie nmn kaso nga lang na disappointed lang ako sa color nya order ko is grayblack dumating saakin skypeach pero okey nmn,1,0,0,0,
16,okay nman kaso wrong color lang dumting black grey sna order ko,0,0,0,0,
17,okay naman ung order ko kaso 4 star lang kasi maling kulay ang binigay ang order ko gray black pero ang dumating blue orange,0,0,0,0,
18,di sya safe pag nilagyan ng mainit na tubig masisira sya salamat dumating na order ko salamat po sa seller at sa rider na nag deliver sana tumagal sya saken at hindi masira agad kaso mali ang napa deliver ni seller saken hindi na sunod ung inorder ko na kulay,1,1,0,1,
19,good maganda at walang damagedkaso mali lng yung kulayblueviolet order konaging pink lng yung bluesa anak ko panamn na lalaki yung bluesana nag cht manlang si seller na hindi na available yung blue,1,0,0,1,
20,okay naman yung quality makapal naman and walang amoy kaso 2l yung order ko pero 1100ml lang yung dumating okay na rin for its price,1,0,1,0,
21,maganda po yung product mabilis lang din dumatingkaso lang meron syang gasgas  but all in all good pa din naman,1,1,0,0,
22,ok ok na sana kaso pink inorder ko pero iba dumating,0,0,0,0,
23,good quality ayoko sana magbigay ng negative feedback kaso napakairesponsable naman ni seller hindi man lang naibalot sa bubble wrap yung item paano kung nabasag at basag na dumating saken sorry nalang ganon lang kasi wala akong choice ang tagal tagal ko hinintay tapos ganito pa nung dumating wala man,1,0,0,1,
24,arrived at good condition complete naman yung items kaso hindi sila pareparehas ng sukat lahat sila xl kita niyo nmaan sa pic pero kung titignan para lang silang small medium at large hahahahahaha pero thank you pa rin seller shopee and kay kuya rider,1,1,0,1,
25,order received po  ok na rin nmn ang tela complete po nakuha ko thank you  kaso ung iba hindi natahi ng maayos ung sa bulsa pero ok lng nmn po,1,0,0,0,
26,ok lang naman tama color and size kaso medyo manipis tela saka loose yung dulo nya gagawan konalang tuloy ng paraan dirin nagrereply yung seller sa mga tanong ko thank you padin mabilis dumating,1,1,0,1,
27,maganda ang tela mali lang ako ng order ng size para sana sa asawa ko kaso bitin will order again kapag nagpayday sale,1,0,0,0,
28,received items in good conditionokay sa price kasi ok nman quality manipos lang kaya sana tumagal,1,0,1,0,
29,maganda sana ang quality kaso black large ang binigay sakin instead sa order ko na navy blue xxl sayang kasi yon ang iniintay kong item,1,0,0,0,
30,sizes are too smalli ordered xxl kaso prang same lang ng mediumokay naman yung medium since maliit naman jowa ko kaso lang yung xxl panreregalo ko sana sa bayaw ko pero sure na di kasya bewangtama naman size ni seller and also sa color goodjob dunyun nga lang maliit tlga411,1,0,0,0,
31,so far okay naman sya malambot ang tela kaso maliit ang size even 2xl na but thank you paren seller,1,0,0,0,
32,good good day  okay naman yong items kaso ang babaw ng pocket sa jogging pant at parang pang unisex yong items so far okay naman pag ei base sa price value,1,0,1,0,
33,ok naman sana kaso may butas ang jogger pants pang gift ko pa naman sana yun tas yung brief kumpleto naman maliit lang pala ang large size at manipis lng sya pero ok lng mura lng naman eh pero next time sana ang ipadala nyo ay yung maayos yung walang,1,0,1,0,
34,not sure if pang ilang order ko na here always complete and correct items binbigay ni seller and secured din always ang packaging kaso medyo na sad ako this transaction may punit ung isang jogger i dont know kung why ero oks lang sana di na maulit sayang pambenta pa,1,0,0,0,
35,all goods naman ang ganda ng tela kaso yung khaki mali ang size xxl dapat pero xl yung pinadala okay naman parang mas malaki pa yung xl kesa sa xxl na sizes thanks seller kahit di ka marunong magreply gbu,1,0,0,1,
36,ok lang naman yung pants disappointed lang sa sizing ang liit pala ng xxl nila tapos ang ang tigas yung ginamit ng cloth sa bulsa ng dark gray para sana kay papa kaso ako ata makakagamit,1,0,0,0,
37,maganda naman siya kaso hindi type ng mother ko yung tela then medyo masikip yung large niya akala namin magkakasya sa father ko pero okay naman siya walang connect yung pic and vid sa item,1,0,0,0,
