Review #,Review,product,delivery,price,service,explanation,,,,
1,not good gags kulang ng scalp massager,1,0,0,0,The review mentions a missing part (scalp massager),which is related to the product itself.,,,
2,sa totoo lang sobrang pangit ang pangit ng tela ang pangit ng kulay parang hindi maroon tapos may mga tastas nue beyen ayusin nyo naman to uy buti nalang maganda pagka picture halatang walang damage,1,0,0,0,The review heavily criticizes the product's fabric,color,and overall poor quality.,,
3,not so satisfied wala manlang bubble wrap nag dagdag pa naman ako ng electronic protection umay okay na siguro yan 3 star,0,1,0,0,The review expresses dissatisfaction with the lack of bubble wrap in the packaging,directly related to delivery.,,,
4,oily sobrang mild ng fragrance to the point na maamoy lang pag malapitan amoy mild na coconut oil at may hint na vanilla mas mabango yung sweet like candy may leak din kagaya ng ibang reviews,1,0,0,0,The review describes the scent and consistency of the product,mentioning it is oily and has a mild fragrance. The leak also falls under product quality.,,,
5,malagkit at nagiiwan sya ng stain okay na rin for its price kaso namumuo talaga sya sa lips,1,0,1,0,The review discusses the product's texture (malagkit,stain) and also mentions the price in relation to its quality.,,,
6,sira ng dumating at nagmamadali si rider ipakuha ang order d mabana kahit na charge na magdamag at madaming uklap,1,1,0,0,The review mentions that the product arrived damaged and the rider was in a hurry.,,,,
7,wrong colorrrrrrmmmbeige inorder ko green dumating sorry sa pic green siya sa personal pero sa pic beige siya,1,0,0,0,The review is about receiving the wrong color product.,,,,
8,bat ganun iba ang tela compare sa nauna kung kinuha at masyadong colorful pang white pants ng brother ko un d tuloy magagamit,1,0,0,0,The review focuses on the fabric (tela) and its suitability for the intended purpose (pants).,,,,
9,anlaki ng expectations ko kala ko malakas medj mahina siya need mo lang idikit ng sobra sa muka para mahanginan,1,0,0,0,The review assesses the product's performance,specifically its strength.,,,
10,okay naman order ko salamat seller and rider,0,0,0,1,The review express gratitude towards the seller and rider.,,,,
11,palpakkkkkkk haysssst mali yung size na binigay maka dis apoint,1,0,0,0,The review reports receiving the wrong size,a product-related issue.,,,
12,type c namn yung dumating hshs,1,0,0,0,Reviewer is talking about the item he/she received,which is a Type C,related to product.,,
13,kulang ung item nagrequest ng refund inabot pa ng 2days saka irefund panay balik ng request ni seller na ireturn ang item saka irefund mali ng seller kami pa papahassle mag backship tpos magbayad pa sf pra marefund sa halagang 119 pakiayos next time seller double check nyo ung item,0,0,0,1,The review focuses on the item missing,seller service and customer support,,,
14,ok naman sya kaso honestly parang hindi sya sturdy and may dents yung body manipis yung plasticmaterial tho its working fine naman,1,0,0,0,The review talks about product quality and its performance (not sturdy,dents,thin plastic).,,
15,white inorder ko pero black dumating tapos yung size ng 40 masikip pa din dapat ka pag 40 size ng paa nyo dapat ang iorder ninyo is 41,1,0,0,0,The review states getting the wrong color and incorrect sizing,relating to product.,,,
16,wrong mali naman ang ipinadala available naman po dun sa cart bakit naman po ganun ok naman ang quality disappointed lang ako dahil mali yung color ng item thank you pa rin po god bless,1,0,0,0,The review reports receiving the wrong item and mentions the quality of the product.,,,,
