Review #,Review,product,delivery,price,service,explanation,,,
1,good ok namn ung delivery nya maayos at napakabilis kaya lang sala ung item na pinadala ni seller ang order ko ay blue 10 ribs ang dumating is 8 ribs na kung saan magkaiba ung price nya so lugi ako don e ang binayadan kung price is pang 10 ribs,1,1,1,1,Mentions product being different from what was ordered,fast delivery,price difference,and seller sending wrong item.
2,hard to foldrestore ang hirap nya i fold or irestore not really worth its price kasi parang di maayos yung quality nya however i received naman exact product with no damage thanks,1,0,1,0,Describes product's difficulty to fold and questionable quality,plus its price point.,,
3,medyo maliit sakin next time pag bili ko ung malaki na bibilin ko xl nlng nxt time di ko expect maliit masyado ung l,1,0,0,0,States the size is small.,,,
4,okay naman pag ka pack sa size lang talaga mali di pa pwede e return or refund,1,0,0,0,Mentions incorrect size.,,,
5,medyo manipis ung wallpaper and madaling mabakbak and nahaluan siya ng light na color ng gray which is ang order is dark gray,1,0,0,0,Describes product quality and color inaccuracy.,,,
6,yun 1 neckfan mukhang loose un mga parts malakas un vibration magkaiba ng brand yun naipadala kaya magkaiba din nasunod naman yun kulay na order thanks seller will order again,1,0,0,0,Mentions product parts being loose,vibration,and brand differences.,
7,goods well packfast deliveryokey ang color nasunod pero hindi okey yun lip therapy madaling maalis lang tissue not like yun naorder ko sa ibang sellerpinamigay ko na lang sa kakilala komore improve nyo pa po lip therapy thanks seller,1,1,0,0,Positive delivery experience,but the lip therapy is not good,mentioning product quality and asking for improvement.,
8,hii sorry if late rate sobrang late haahahahahaha medjo disappointed lg kase butas pero ok lang di naman makikita tsaka kalaq di ganyan design btw tatlo yan kaso nilabhan yun lang ok naman sya nagagamit naman,1,0,0,0,Late delivery with a damaged product,,,
9,710 maganda naman siya kaso ang bilis ma lowbat pero sa sounds both sides all good thank you seller and kuyang rider,1,0,0,0,Reviews the product as good but with a fast battery drain.,,,
10,ok naman kso nd nasunod yung size nah order ko malaki naman yung binigay hndq tuloy kasya,1,0,0,0,Mentions incorrect sizing.,,,
11,color white ang order q nong dumating black nman,0,1,0,0,Wrong color,,,
12,6 na large ang inorder ko pero 4 na large at 2 small ang dumating,0,1,0,0,Delivered the wrong quantity,,,
13,maganda naman yung color pero sana hindi nyo na lang nilagay sa description nyo na long lasting kc its a prank pohindi naman sya long lasting,1,0,0,0,Mentions color but the product not living up to what was advertised,,,
14,nareceived ko syang bukas na sa gilid nya pero d ko pa totally na bbuksan sana lng ako ung items thabk you pa dn po,0,1,0,0,Received with broken packaging,,,
15,610 super light ang amoy pero mabango at firstmedyo di ko makuha ang amoy alcohol base din sya pero habang natagal nakukuha ko naman ang amoy may pagka vanilla sweet scent dont expect too much na super nagtatagal sya given 79 pesos lang naman for its priceok na din nman,1,0,1,0,Describes the scent of the product and considers the price point.,,,
16,ok yung pag bubble warp pero yung boxpackaging mismo ng ring light and stand parang deformed  used box ang ginamit may mga damage like missing rubber or stopper sa tripod yung sa ring light may nasira din na parts may gasgas yung ring light pwede na sa 199 na,1,0,0,0,Describes deformed packaging,missing parts,damage,and scratches.
17,thank you okay naman,0,0,0,0,No aspect mentioned.,,,
18,mabilis dumating yung order ko kaya lang yung lip balm hindi na naka sealed nung nareceive ko halatang ginamet na order pa naman yun saken kase niresell ko minessage ko din yung seller pero hindi responsive,1,1,0,1,Fast delivery but the product is not sealed and the seller is unresponsive.,,,
19,hindi ko sya nareceive yung flattener so 3 stars lang po pero the rest of the product is really in best quality well definitely buy again soon,1,0,0,0,Product good quality,,,
