```csv
Review,product,delivery,price,service
i received the order complete yesterday quality was not really good medyo manipis isang item may butas sa likod message ko so seller walang reply nextime pocheck muna bago e pack kasi nagbabayad ng maayos yung customer niyokawawa naman di pa nagamit butas na,1,0,0,1
sana naman po ayusin ninyo ang pinag gagawawa ninyu pag walang stock mark sold out na sana ninyo  hindi yung ibang ang ibabalot ninyo yung order ko inang model po dumating,0,1,0,0
napakalinaw po ng order ko dark grey and black color pero kayo po ang nasunod blue at maroon sana inindicate nyo na bawal mamili ng kulay,0,1,0,0
same color yung inorder pero nung dumating iba na yung color nung isa and yung may issue din sa size kasi 44 yung size dapat ng isa pero 3839 yung dumating hindi man lang umabot ng 40 so sayang yung bayad kasi hindi naman magagamit yung isang item nakaka disappoint,1,0,1,0
maayos naman at mabilis shipping pero di ko inexpect na ganun yung item bluetooth earphones na nga lang na recieve ko di pa naka sealed although okay naman yung item eh sana naman eh mas ginandahan ni seller yung oag bibigay hindi yung mukang gamit na,1,1,0,1
wrong item i order 2l pero an ibinigay 1 1l lng at ibang design din please make sure na tama ang ibinibigay niyo na item sa mga customer niyo nakadismaya talaga,0,1,0,0
2nd order ko na to yung una palpak  mali yung napadala  tester yung napadala and super bango niya kaya nag order ako ulit ng mas malaki  problema nga lang  aside sa may leak sya  wala pang amoy tas parang tubig lang ang layo ng,1,1,0,0
naglileak tas small order ko binigay pang newborn anong gagawin ko sa diaper na to hindi kasya sa baby ko  kung kailan pangalawang order ko na dto mas okay yung una,1,1,0,0
wala power and off button 1 day lang di man lang nagamitwag na kayo bumili ang bilis masira nito,1,0,0,0
maganda medyo maliit and maganda din yung packaging kaso ang hindi lng maganda at nakakasama ng loob ay expired na kaya pala mura lng kase expired na yung malaki nmn ayos lng hindi expired and wla din damage kaso may problema nanaman hindi nya kaamoy yung dati kong binili,1,0,1,0
not good same as other cheap umbrella kala ko maganda at mas makapal ang quality ng payong di pala hahahaha,1,0,1,0
will not order again very disappointed with the product the quality was not good hindi pa nagagamit sira na agad,1,0,0,0
d xha same nung nsa picture expectation vs reality nkaka disappointed lng pa order lang dn kc skin 2,1,0,0,0
daw po pero nung nakadikit na sa wall nagtaka ako bat onti lang ang nacover na area sinukat ko 52meters lang po lahat sa isang roll sana maaddress po ito if youre willing to risk it then buy if 10meters talaga hanap mo i wont recommend this shop,1,0,0,0
not good wag kayo oorder dine mura man sya pero ung seller sarap murahin ehh pero im a good girl kaya diko ggwin un sa iba na lng kayo umorder,0,0,1,1
diko gusto ung mali na diniliber nyo baby nose cleaner pump order ko pero ayan dumating,0,1,0,0
not the same as what is shown in the picture gusot ayaw ma fix yung gusot,1,0,0,0
kung meron lng 0 star yan ibibgay ko grabe sa ilang ulit kong nag order 3x d nalang naisip ni seller na good buyer ako unang pinadeliver madaming reject magaspang yung loob pangalawa plastic hnd magic tape etong last mahigit sa kalahati walang tape salamat nlng sa 3 beses na,1,0,0,1
sira ung iba pero ung iba pwede ang dali masira halos kakarating lang sira na agad hnd na nagana at tsaka sobrang low quality sia pero sakto lang sa price naibagay naman thank you paren,1,0,1,0
the mascara is okay but the eyeliner tuyo sya kahit baliktarin kopa ung tip,1,0,0,0
namamatay po yung rightchinarge ko xa mga 2 hours kc akala ko lowbat lng pero ganon parin yung kanan namamatay after a seconds yung left ok nmn sana magawan nyu ng solution kc sayang pera i change my rate later if you do solution for this,1,0,1,1
good sobra liit grave  first ko umorder dito hindi talaga kasya skin liit nya sayang ung pera hindi ko magamit ung items hindi din kasya sa mga kasamahan ko malaki ung cup pero ung strap sa likod wow ang eksi sobrahindi ko enexpect na ganito cya kahaba,1,0,1,0
huwag na po kayong bumili dito once lang gagana wala pang ilang oras malolowbatt na siya then kapag ichacharge mo na hindi na gagana talaga sana naman seller truthful ka sa mga binebenta mo hindi yung nagsesend ka ng mga defective items,1,0,0,0
bumili kami ng mystery pouch at mystery box for excitement para masaya ung exciting habang binubuksan mo sana khit alam namin posibleng walang kwenta ang laman nya pero eto na nga hindi nakabox hindi nakapouch basta nasa shopee bag lang nadefeat ang purpose ang corny ni seller ang kj,0,0,0,0
at first okey sya maganda tunog hindi basag at hindi mabilis malobat pero after ilan gamit ayan na sya hindi na sya gumagana ayaw ng mag power on at ayaw nrin mag charge so disappointing,1,0,0,0
maayos naman buti hindi nasira at walang shock absorber,0,1,0,0
not worth it sira po ang binigay tapos unaccommodating ang seller sabi lang eh return eh kung malaki magagastos pa pag binalik pa nu ga yun kung ayos sana ang binigay in the first place edi wala problema dapat kasi chineck muna bago ideliver para wala problema,1,0,1,1
fvckk i dont know baket ganun ung amoy first para syang alcohol malamig and the spell not really sure kung long lasting pero kase nde sya maamoy and medj wlang amoy im tryinh to shake baka ganun but no im really really disappointed for this product dont buy ariana guys,1,0,0,0
im so disappointed una sa lahat nung nareceive ko sya prng gamit na kasi walang plastic nakabuka pa mismo yung harap tpos ung filter wala rn plstic ang pangit sayang pera sana bumili na lang ako ng original sa mall sobrang nakakainis tpos unh remote chinese pa leche kakainis kabwisit,1,0,1,0
maling size naman po ung pinadala nyo large po ung order q hnd smallsana sa susunod kung wla kayong available nong ino order sa inyo sabihin nyo nlang hnd ung magpapadala kayo nang d ayon sa order,0,1,0,0
not good sya sa aking kasi kapag mag charge ka indi kasya yong charger sa mini electrifan,1,0,0,0
wrong color received i ordered 2nd time dahil nakulangan ako kaso ibang kulay yung dumating,0,1,0,0
low quality hindi sya nagana nung dumating kaya naicharge muna kasi akala namin lowbatt lang then ilang araw na naka charge hindi talaga gumagana nakaka disappoint ng sobra,1,0,0,0
not good too hindi ito yung inorder ko okay lang sana kaso madaling mapunit yung sa sintasan ganyan na pagdating sakin next time ho kung ano yung nakalagay sa picture sana ganun din ibigay niyo bakit sa iba okay naman first time ko omorder dito sa shopee na naloko ako,1,0,0,0
dont order here comp mouse ang inorder ko tsinels ang dumatingupdate ako ng update pero walng sumasagot,0,1,0,1
malamig sya just like an ordinary alcohol worst purchase nilagyan lang ng oil2 pro parang alcohol dahil malamig sya sana mabasa ito ng mga future buyers this make sense bakit 79 lang sorry but ang layu sa orig scent parang nag purchase ka lang ng alcohol literal,1,0,1,0
bobo ng seller hindi ata alam ang kulay ng black o baka color blind ang seller ang order ko black pero ang dumating gray  ang bobo mo bumalik ka nga ng grade school nakakagigil ka,0,0,0,1
sayang lang ang pera sira p ung charger haha kainis gsto q sna ireturm kso ntapon qna ung box kainis tlga sira n cxa agad isang araw plng tpos kupas p ung print ng mukha ng pig d recommmend,1,0,1,0
ang layo sa inorder ko kulay nung inorder green tas ung wipes na inorder ko pangsapatos hindi pang mukha,0,1,0,0
pagka open ko ng handle crack sya ang panget dumating syang may crack tas ka bukas ko ng handle sira sya so diko manlang nakagamit kahit isang beses,1,1,0,0
